sector,sector_weight,symbol,weight,as_of_date
Power,16.58,ADANIENSOL,5.73,31-07-2026
Power,16.58,ADANIGREEN,3.53,31-07-2026
Power,16.58,ADANIPOWER,7.32,31-07-2026
Metals & Mining,24.55,ADANIENT,2.09,31-07-2026
Metals & Mining,24.55,HINDALCO,6.97,31-07-2026
Metals & Mining,24.55,HINDZINC,1.82,31-07-2026
Metals & Mining,24.55,JINDALSTEL,1.75,31-07-2026
Metals & Mining,24.55,JSWSTEEL,3.15,31-07-2026
Metals & Mining,24.55,TATASTEEL,3.6,31-07-2026
Metals & Mining,24.55,VEDL,5.17,31-07-2026
Services,3.68,ADANIPORTS,3.68,31-07-2026
Financial Services,18.2,BANKBARODA,0.99,31-07-2026
Financial Services,18.2,CANBK,1.31,31-07-2026
Financial Services,18.2,MUTHOOTFIN,3.06,31-07-2026
Financial Services,18.2,SBIN,4.53,31-07-2026
Financial Services,18.2,SHRIRAMFIN,7.04,31-07-2026
Financial Services,18.2,UNIONBANK,1.28,31-07-2026
Capital Goods,11.76,BEL,1.58,31-07-2026
Capital Goods,11.76,CGPOWER,2.76,31-07-2026
Capital Goods,11.76,CUMMINSIND,6.1,31-07-2026
Capital Goods,11.76,SIEMENS,1.33,31-07-2026
Automobile and Auto Components,15.87,EICHERMOT,4.09,31-07-2026
Automobile and Auto Components,15.87,M&M,2.6,31-07-2026
Automobile and Auto Components,15.87,MARUTI,2.03,31-07-2026
Automobile and Auto Components,15.87,MOTHERSON,4.23,31-07-2026
Automobile and Auto Components,15.87,TVSMOTOR,2.92,31-07-2026
Construction Materials,2.87,GRASIM,2.87,31-07-2026
Chemicals,1.17,SOLARINDS,1.17,31-07-2026
Consumer Durables,2.74,TITAN,2.74,31-07-2026
Healthcare,2.58,TORNTPHARM,2.58,31-07-2026
