sector,sector_weight,symbol,weight,as_of_date
Capital Goods,3.58,ABB,1.19,31-07-2026
Capital Goods,3.58,CGPOWER,0.57,31-07-2026
Capital Goods,3.58,CUMMINSIND,1.08,31-07-2026
Capital Goods,3.58,SIEMENS,0.74,31-07-2026
Power,5.15,ADANIENSOL,0.96,31-07-2026
Power,5.15,ADANIGREEN,1.39,31-07-2026
Power,5.15,ADANIPOWER,0.56,31-07-2026
Power,5.15,NTPC,0.53,31-07-2026
Power,5.15,POWERGRID,1.26,31-07-2026
Power,5.15,TATAPOWER,0.44,31-07-2026
Metals & Mining,3.6,ADANIENT,0.8,31-07-2026
Metals & Mining,3.6,HINDALCO,1.18,31-07-2026
Metals & Mining,3.6,HINDZINC,0.39,31-07-2026
Metals & Mining,3.6,JSWSTEEL,0.58,31-07-2026
Metals & Mining,3.6,TATASTEEL,0.65,31-07-2026
Services,0.74,ADANIPORTS,0.74,31-07-2026
Construction Materials,1.88,AMBUJACEM,0.32,31-07-2026
Construction Materials,1.88,GRASIM,0.61,31-07-2026
Construction Materials,1.88,SHREECEM,0.41,31-07-2026
Construction Materials,1.88,ULTRACEMCO,0.54,31-07-2026
Healthcare,3.49,APOLLOHOSP,1.23,31-07-2026
Healthcare,3.49,DIVISLAB,0.76,31-07-2026
Healthcare,3.49,MAXHEALTH,0.63,31-07-2026
Healthcare,3.49,TORNTPHARM,0.88,31-07-2026
Consumer Durables,2.77,ASIANPAINT,1.27,31-07-2026
Consumer Durables,2.77,TITAN,1.5,31-07-2026
Financial Services,33.78,AXISBANK,3.17,31-07-2026
Financial Services,33.78,BAJAJFINSV,1.29,31-07-2026
Financial Services,33.78,BAJAJHLDNG,0.31,31-07-2026
Financial Services,33.78,BAJFINANCE,3.36,31-07-2026
Financial Services,33.78,BANKBARODA,0.38,31-07-2026
Financial Services,33.78,CANBK,0.63,31-07-2026
Financial Services,33.78,CHOLAFIN,1.01,31-07-2026
Financial Services,33.78,HDFCAMC,1.06,31-07-2026
Financial Services,33.78,HDFCBANK,4.4,31-07-2026
Financial Services,33.78,HDFCLIFE,1.16,31-07-2026
Financial Services,33.78,ICICIBANK,6.24,31-07-2026
Financial Services,33.78,IRFC,0.16,31-07-2026
Financial Services,33.78,JIOFIN,1.59,31-07-2026
Financial Services,33.78,MUTHOOTFIN,0.23,31-07-2026
Financial Services,33.78,PFC,1.04,31-07-2026
Financial Services,33.78,RECLTD,1.47,31-07-2026
Financial Services,33.78,SBILIFE,1.59,31-07-2026
Financial Services,33.78,SBIN,2.75,31-07-2026
Financial Services,33.78,SHRIRAMFIN,1.5,31-07-2026
Financial Services,33.78,UNIONBANK,0.44,31-07-2026
Automobile and Auto Components,12.08,BAJAJ-AUTO,1.38,31-07-2026
Automobile and Auto Components,12.08,BOSCHLTD,0.98,31-07-2026
Automobile and Auto Components,12.08,EICHERMOT,1.05,31-07-2026
Automobile and Auto Components,12.08,HYUNDAI,1.12,31-07-2026
Automobile and Auto Components,12.08,M&M,3.0,31-07-2026
Automobile and Auto Components,12.08,MARUTI,2.13,31-07-2026
Automobile and Auto Components,12.08,MOTHERSON,0.73,31-07-2026
Automobile and Auto Components,12.08,TVSMOTOR,1.7,31-07-2026
Telecommunication,5.06,BHARTIARTL,5.06,31-07-2026
Oil Gas & Consumable Fuels,3.09,BPCL,0.46,31-07-2026
Oil Gas & Consumable Fuels,3.09,GAIL,0.49,31-07-2026
Oil Gas & Consumable Fuels,3.09,IOC,0.37,31-07-2026
Oil Gas & Consumable Fuels,3.09,ONGC,0.44,31-07-2026
Oil Gas & Consumable Fuels,3.09,RELIANCE,1.33,31-07-2026
Fast Moving Consumer Goods,5.57,BRITANNIA,0.62,31-07-2026
Fast Moving Consumer Goods,5.57,GODREJCP,1.1,31-07-2026
Fast Moving Consumer Goods,5.57,HINDUNILVR,2.2,31-07-2026
Fast Moving Consumer Goods,5.57,NESTLEIND,0.83,31-07-2026
Fast Moving Consumer Goods,5.57,TATACONSUM,0.4,31-07-2026
Fast Moving Consumer Goods,5.57,VBL,0.41,31-07-2026
Realty,0.35,DLF,0.35,31-07-2026
Consumer Services,5.52,DMART,1.04,31-07-2026
Consumer Services,5.52,ETERNAL,3.24,31-07-2026
Consumer Services,5.52,INDHOTEL,0.5,31-07-2026
Consumer Services,5.52,TRENT,0.74,31-07-2026
Information Technology,12.45,HCLTECH,2.81,31-07-2026
Information Technology,12.45,INFY,4.94,31-07-2026
Information Technology,12.45,LTM,1.2,31-07-2026
Information Technology,12.45,TECHM,2.19,31-07-2026
Information Technology,12.45,WIPRO,1.31,31-07-2026
Chemicals,0.89,PIDILITIND,0.89,31-07-2026
