sector,sector_weight,symbol,weight,as_of_date
Capital Goods,3.63,ABB,1.19,31-07-2026
Capital Goods,3.63,CGPOWER,0.57,31-07-2026
Capital Goods,3.63,CUMMINSIND,1.07,31-07-2026
Capital Goods,3.63,ENRIN,0.07,31-07-2026
Capital Goods,3.63,SIEMENS,0.74,31-07-2026
Power,5.12,ADANIENSOL,0.96,31-07-2026
Power,5.12,ADANIGREEN,1.38,31-07-2026
Power,5.12,ADANIPOWER,0.55,31-07-2026
Power,5.12,NTPC,0.53,31-07-2026
Power,5.12,POWERGRID,1.25,31-07-2026
Power,5.12,TATAPOWER,0.44,31-07-2026
Metals & Mining,3.84,ADANIENT,0.8,31-07-2026
Metals & Mining,3.84,HINDALCO,1.18,31-07-2026
Metals & Mining,3.84,HINDZINC,0.39,31-07-2026
Metals & Mining,3.84,JINDALSTEL,0.25,31-07-2026
Metals & Mining,3.84,JSWSTEEL,0.57,31-07-2026
Metals & Mining,3.84,TATASTEEL,0.65,31-07-2026
Services,0.74,ADANIPORTS,0.74,31-07-2026
Construction Materials,1.87,AMBUJACEM,0.32,31-07-2026
Construction Materials,1.87,GRASIM,0.61,31-07-2026
Construction Materials,1.87,SHREECEM,0.4,31-07-2026
Construction Materials,1.87,ULTRACEMCO,0.54,31-07-2026
Healthcare,3.47,APOLLOHOSP,1.22,31-07-2026
Healthcare,3.47,DIVISLAB,0.75,31-07-2026
Healthcare,3.47,MAXHEALTH,0.62,31-07-2026
Healthcare,3.47,TORNTPHARM,0.87,31-07-2026
Consumer Durables,2.76,ASIANPAINT,1.26,31-07-2026
Consumer Durables,2.76,TITAN,1.49,31-07-2026
Financial Services,33.78,AXISBANK,3.17,31-07-2026
Financial Services,33.78,BAJAJFINSV,1.29,31-07-2026
Financial Services,33.78,BAJAJHLDNG,0.31,31-07-2026
Financial Services,33.78,BAJFINANCE,3.36,31-07-2026
Financial Services,33.78,BANKBARODA,0.38,31-07-2026
Financial Services,33.78,CANBK,0.63,31-07-2026
Financial Services,33.78,CHOLAFIN,1.01,31-07-2026
Financial Services,33.78,HDFCAMC,1.06,31-07-2026
Financial Services,33.78,HDFCBANK,4.4,31-07-2026
Financial Services,33.78,HDFCLIFE,1.16,31-07-2026
Financial Services,33.78,ICICIBANK,6.24,31-07-2026
Financial Services,33.78,IRFC,0.16,31-07-2026
Financial Services,33.78,JIOFIN,1.59,31-07-2026
Financial Services,33.78,MUTHOOTFIN,0.23,31-07-2026
Financial Services,33.78,PFC,1.04,31-07-2026
Financial Services,33.78,RECLTD,1.47,31-07-2026
Financial Services,33.78,SBILIFE,1.59,31-07-2026
Financial Services,33.78,SBIN,2.75,31-07-2026
Financial Services,33.78,SHRIRAMFIN,1.5,31-07-2026
Financial Services,33.78,UNIONBANK,0.44,31-07-2026
Automobile and Auto Components,12.02,BAJAJ-AUTO,1.37,31-07-2026
Automobile and Auto Components,12.02,BOSCHLTD,0.98,31-07-2026
Automobile and Auto Components,12.02,EICHERMOT,1.05,31-07-2026
Automobile and Auto Components,12.02,HYUNDAI,1.11,31-07-2026
Automobile and Auto Components,12.02,M&M,2.98,31-07-2026
Automobile and Auto Components,12.02,MARUTI,2.12,31-07-2026
Automobile and Auto Components,12.02,MOTHERSON,0.72,31-07-2026
Automobile and Auto Components,12.02,TVSMOTOR,1.69,31-07-2026
Telecommunication,5.03,BHARTIARTL,5.03,31-07-2026
Oil Gas & Consumable Fuels,3.07,BPCL,0.46,31-07-2026
Oil Gas & Consumable Fuels,3.07,GAIL,0.49,31-07-2026
Oil Gas & Consumable Fuels,3.07,IOC,0.37,31-07-2026
Oil Gas & Consumable Fuels,3.07,ONGC,0.44,31-07-2026
Oil Gas & Consumable Fuels,3.07,RELIANCE,1.32,31-07-2026
Fast Moving Consumer Goods,5.54,BRITANNIA,0.62,31-07-2026
Fast Moving Consumer Goods,5.54,GODREJCP,1.09,31-07-2026
Fast Moving Consumer Goods,5.54,HINDUNILVR,2.19,31-07-2026
Fast Moving Consumer Goods,5.54,NESTLEIND,0.83,31-07-2026
Fast Moving Consumer Goods,5.54,TATACONSUM,0.4,31-07-2026
Fast Moving Consumer Goods,5.54,VBL,0.41,31-07-2026
Realty,0.35,DLF,0.35,31-07-2026
Consumer Services,5.49,DMART,1.04,31-07-2026
Consumer Services,5.49,ETERNAL,3.22,31-07-2026
Consumer Services,5.49,INDHOTEL,0.5,31-07-2026
Consumer Services,5.49,TRENT,0.73,31-07-2026
Information Technology,12.39,HCLTECH,2.79,31-07-2026
Information Technology,12.39,INFY,4.91,31-07-2026
Information Technology,12.39,LTM,1.19,31-07-2026
Information Technology,12.39,TECHM,2.18,31-07-2026
Information Technology,12.39,WIPRO,1.3,31-07-2026
Chemicals,0.89,PIDILITIND,0.89,31-07-2026
