sector,sector_weight,symbol,weight,as_of_date
Metals & Mining,4.16,ADANIENT,2.75,31-07-2026
Metals & Mining,4.16,VEDL,1.42,31-07-2026
Financial Services,36.82,BAJFINANCE,9.67,31-07-2026
Financial Services,36.82,KOTAKBANK,9.09,31-07-2026
Financial Services,36.82,SBIN,13.43,31-07-2026
Financial Services,36.82,SHRIRAMFIN,4.64,31-07-2026
Capital Goods,7.18,BEL,4.39,31-07-2026
Capital Goods,7.18,HAL,2.79,31-07-2026
Telecommunication,15.37,BHARTIARTL,15.37,31-07-2026
Consumer Services,10.08,ETERNAL,6.91,31-07-2026
Consumer Services,10.08,TRENT,3.16,31-07-2026
Services,3.7,INDIGO,3.7,31-07-2026
Automobile and Auto Components,8.12,MARUTI,5.87,31-07-2026
Automobile and Auto Components,8.12,TMPV,2.25,31-07-2026
Oil Gas & Consumable Fuels,14.57,RELIANCE,14.57,31-07-2026
