sector,sector_weight,symbol,weight,as_of_date
Capital Goods,11.77,ABB,2.2,31-07-2026
Capital Goods,11.77,BEL,4.48,31-07-2026
Capital Goods,11.77,HAL,3.43,31-07-2026
Capital Goods,11.77,MAZDOCK,1.65,31-07-2026
Consumer Durables,3.69,ASIANPAINT,3.69,31-07-2026
Automobile and Auto Components,14.39,BAJAJ-AUTO,4.32,31-07-2026
Automobile and Auto Components,14.39,BOSCHLTD,1.94,31-07-2026
Automobile and Auto Components,14.39,EICHERMOT,3.61,31-07-2026
Automobile and Auto Components,14.39,MARUTI,4.52,31-07-2026
Fast Moving Consumer Goods,24.9,BRITANNIA,4.18,31-07-2026
Fast Moving Consumer Goods,24.9,GODREJCP,1.78,31-07-2026
Fast Moving Consumer Goods,24.9,HINDUNILVR,4.6,31-07-2026
Fast Moving Consumer Goods,24.9,ITC,4.64,31-07-2026
Fast Moving Consumer Goods,24.9,NESTLEIND,5.24,31-07-2026
Fast Moving Consumer Goods,24.9,UNITDSPR,2.27,31-07-2026
Fast Moving Consumer Goods,24.9,VBL,2.18,31-07-2026
Oil Gas & Consumable Fuels,3.78,COALINDIA,3.78,31-07-2026
Healthcare,7.59,DIVISLAB,3.43,31-07-2026
Healthcare,7.59,DRREDDY,2.42,31-07-2026
Healthcare,7.59,ZYDUSLIFE,1.74,31-07-2026
Information Technology,22.82,HCLTECH,4.7,31-07-2026
Information Technology,22.82,INFY,5.13,31-07-2026
Information Technology,22.82,LTM,2.29,31-07-2026
Information Technology,22.82,TCS,5.38,31-07-2026
Information Technology,22.82,TECHM,3.16,31-07-2026
Information Technology,22.82,WIPRO,2.15,31-07-2026
Financial Services,2.99,HDFCAMC,2.99,31-07-2026
Metals & Mining,2.83,HINDZINC,2.83,31-07-2026
Chemicals,5.24,PIDILITIND,2.53,31-07-2026
Chemicals,5.24,SOLARINDS,2.72,31-07-2026
