sector,sector_weight,symbol,weight,as_of_date
Consumer Durables,9.51,ASIANPAINT,3.66,31-07-2026
Consumer Durables,9.51,DIXON,3.98,31-07-2026
Consumer Durables,9.51,HAVELLS,1.88,31-07-2026
Automobile and Auto Components,7.46,BAJAJ-AUTO,4.25,31-07-2026
Automobile and Auto Components,7.46,HEROMOTOCO,3.21,31-07-2026
Capital Goods,15.17,BEL,4.49,31-07-2026
Capital Goods,15.17,CUMMINSIND,3.19,31-07-2026
Capital Goods,15.17,HAL,3.43,31-07-2026
Capital Goods,15.17,MAZDOCK,1.65,31-07-2026
Capital Goods,15.17,POLYCAB,2.4,31-07-2026
Fast Moving Consumer Goods,25.69,BRITANNIA,4.18,31-07-2026
Fast Moving Consumer Goods,25.69,COLPAL,3.9,31-07-2026
Fast Moving Consumer Goods,25.69,HINDUNILVR,4.59,31-07-2026
Fast Moving Consumer Goods,25.69,ITC,4.65,31-07-2026
Fast Moving Consumer Goods,25.69,MARICO,3.14,31-07-2026
Fast Moving Consumer Goods,25.69,NESTLEIND,5.24,31-07-2026
Oil Gas & Consumable Fuels,3.78,COALINDIA,3.78,31-07-2026
Information Technology,24.84,HCLTECH,4.69,31-07-2026
Information Technology,24.84,INFY,5.14,31-07-2026
Information Technology,24.84,KPITTECH,1.05,31-07-2026
Information Technology,24.84,LTM,2.27,31-07-2026
Information Technology,24.84,OFSS,2.11,31-07-2026
Information Technology,24.84,PERSISTENT,2.88,31-07-2026
Information Technology,24.84,TATAELXSI,1.32,31-07-2026
Information Technology,24.84,TCS,5.39,31-07-2026
Financial Services,3.04,HDFCAMC,3.04,31-07-2026
Metals & Mining,2.78,HINDZINC,2.78,31-07-2026
Textiles,2.52,PAGEIND,2.52,31-07-2026
Chemicals,5.22,PIDILITIND,2.52,31-07-2026
Chemicals,5.22,SOLARINDS,2.7,31-07-2026
