sector,sector_weight,symbol,weight,as_of_date
Diversified,0.1,3MINDIA,0.1,31-07-2026
Financial Services,9.9,AADHARHFC,0.06,31-07-2026
Financial Services,9.9,AAVAS,0.06,31-07-2026
Financial Services,9.9,APTUS,0.1,31-07-2026
Financial Services,9.9,BAJAJHFL,0.1,31-07-2026
Financial Services,9.9,BSE,1.54,31-07-2026
Financial Services,9.9,CAMS,0.2,31-07-2026
Financial Services,9.9,CANFINHOME,0.07,31-07-2026
Financial Services,9.9,CANHLIFE,0.04,31-07-2026
Financial Services,9.9,CDSL,0.24,31-07-2026
Financial Services,9.9,CRISIL,0.11,31-07-2026
Financial Services,9.9,GICRE,0.15,31-07-2026
Financial Services,9.9,GODIGIT,0.06,31-07-2026
Financial Services,9.9,HDFCLIFE,0.61,31-07-2026
Financial Services,9.9,HOMEFIRST,0.12,31-07-2026
Financial Services,9.9,HUDCO,0.1,31-07-2026
Financial Services,9.9,ICICIGI,0.41,31-07-2026
Financial Services,9.9,ICICIPRULI,0.21,31-07-2026
Financial Services,9.9,IEX,0.11,31-07-2026
Financial Services,9.9,IREDA,0.1,31-07-2026
Financial Services,9.9,IRFC,0.18,31-07-2026
Financial Services,9.9,KFINTECH,0.13,31-07-2026
Financial Services,9.9,LICHSGFIN,0.16,31-07-2026
Financial Services,9.9,LICI,0.19,31-07-2026
Financial Services,9.9,MCX,0.71,31-07-2026
Financial Services,9.9,MFSL,0.41,31-07-2026
Financial Services,9.9,NIACL,0.04,31-07-2026
Financial Services,9.9,NIVABUPA,0.06,31-07-2026
Financial Services,9.9,PAYTM,0.58,31-07-2026
Financial Services,9.9,PFC,0.64,31-07-2026
Financial Services,9.9,PINELABS,0.03,31-07-2026
Financial Services,9.9,PNBHOUSING,0.2,31-07-2026
Financial Services,9.9,POLICYBZR,0.57,31-07-2026
Financial Services,9.9,RECLTD,0.48,31-07-2026
Financial Services,9.9,SAMMAANCAP,0.13,31-07-2026
Financial Services,9.9,SBILIFE,0.87,31-07-2026
Financial Services,9.9,STARHEALTH,0.15,31-07-2026
Chemicals,2.67,AARTIIND,0.1,31-07-2026
Chemicals,2.67,ANURAS,0.04,31-07-2026
Chemicals,2.67,ATUL,0.11,31-07-2026
Chemicals,2.67,CHAMBLFERT,0.07,31-07-2026
Chemicals,2.67,CLEAN,0.04,31-07-2026
Chemicals,2.67,DEEPAKFERT,0.11,31-07-2026
Chemicals,2.67,DEEPAKNTR,0.12,31-07-2026
Chemicals,2.67,FACT,0.05,31-07-2026
