sector,sector_weight,symbol,weight,as_of_date
Financial Services,20.02,360ONE,0.21,31-07-2026
Financial Services,20.02,AADHARHFC,0.19,31-07-2026
Financial Services,20.02,AAVAS,0.19,31-07-2026
Financial Services,20.02,ABCAPITAL,0.2,31-07-2026
Financial Services,20.02,ABSLAMC,0.18,31-07-2026
Financial Services,20.02,AIIL,0.21,31-07-2026
Financial Services,20.02,ANANDRATHI,0.2,31-07-2026
Financial Services,20.02,ANGELONE,0.18,31-07-2026
Financial Services,20.02,APTUS,0.18,31-07-2026
Financial Services,20.02,AUBANK,0.2,31-07-2026
Financial Services,20.02,AXISBANK,0.19,31-07-2026
Financial Services,20.02,BAJAJFINSV,0.22,31-07-2026
Financial Services,20.02,BAJAJHFL,0.2,31-07-2026
Financial Services,20.02,BAJAJHLDNG,0.22,31-07-2026
Financial Services,20.02,BAJFINANCE,0.23,31-07-2026
Financial Services,20.02,BANDHANBNK,0.17,31-07-2026
Financial Services,20.02,BANKBARODA,0.2,31-07-2026
Financial Services,20.02,BANKINDIA,0.19,31-07-2026
Financial Services,20.02,BSE,0.19,31-07-2026
Financial Services,20.02,CAMS,0.21,31-07-2026
Financial Services,20.02,CANBK,0.2,31-07-2026
Financial Services,20.02,CANFINHOME,0.18,31-07-2026
Financial Services,20.02,CANHLIFE,0.2,31-07-2026
Financial Services,20.02,CDSL,0.19,31-07-2026
Financial Services,20.02,CENTRALBK,0.19,31-07-2026
Financial Services,20.02,CGCL,0.18,31-07-2026
Financial Services,20.02,CHOICEIN,0.2,31-07-2026
Financial Services,20.02,CHOLAFIN,0.21,31-07-2026
Financial Services,20.02,CHOLAHLDNG,0.19,31-07-2026
Financial Services,20.02,CREDITACC,0.22,31-07-2026
Financial Services,20.02,CRISIL,0.21,31-07-2026
Financial Services,20.02,CUB,0.19,31-07-2026
Financial Services,20.02,FEDERALBNK,0.22,31-07-2026
Financial Services,20.02,FIVESTAR,0.2,31-07-2026
Financial Services,20.02,GICRE,0.19,31-07-2026
Financial Services,20.02,GODIGIT,0.16,31-07-2026
Financial Services,20.02,GROWW,0.19,31-07-2026
Financial Services,20.02,HDBFS,0.18,31-07-2026
Financial Services,20.02,HDFCAMC,0.2,31-07-2026
Financial Services,20.02,HDFCBANK,0.18,31-07-2026
Financial Services,20.02,HDFCLIFE,0.2,31-07-2026
Financial Services,20.02,HOMEFIRST,0.19,31-07-2026
Financial Services,20.02,HUDCO,0.19,31-07-2026
Financial Services,20.02,ICICIAMC,0.2,31-07-2026
Financial Services,20.02,ICICIBANK,0.2,31-07-2026
Financial Services,20.02,ICICIGI,0.18,31-07-2026
Financial Services,20.02,ICICIPRULI,0.2,31-07-2026
Financial Services,20.02,IDBI,0.19,31-07-2026
Financial Services,20.02,IDFCFIRSTB,0.21,31-07-2026
Financial Services,20.02,IEX,0.23,31-07-2026
Financial Services,20.02,IFCI,0.2,31-07-2026
Financial Services,20.02,IIFL,0.22,31-07-2026
Financial Services,20.02,INDIANB,0.2,31-07-2026
Financial Services,20.02,INDUSINDBK,0.2,31-07-2026
Financial Services,20.02,IOB,0.2,31-07-2026
Financial Services,20.02,IREDA,0.2,31-07-2026
Financial Services,20.02,IRFC,0.2,31-07-2026
Financial Services,20.02,J&KBANK,0.18,31-07-2026
Financial Services,20.02,JIOFIN,0.22,31-07-2026
Financial Services,20.02,JMFINANCIL,0.2,31-07-2026
Financial Services,20.02,KARURVYSYA,0.23,31-07-2026
Financial Services,20.02,KFINTECH,0.21,31-07-2026
Financial Services,20.02,KOTAKBANK,0.21,31-07-2026
Financial Services,20.02,LICHSGFIN,0.19,31-07-2026
Financial Services,20.02,LICI,0.19,31-07-2026
Financial Services,20.02,LTF,0.2,31-07-2026
Financial Services,20.02,M&MFIN,0.24,31-07-2026
Financial Services,20.02,MAHABANK,0.2,31-07-2026
Financial Services,20.02,MANAPPURAM,0.23,31-07-2026
Financial Services,20.02,MCX,0.19,31-07-2026
Financial Services,20.02,MFSL,0.19,31-07-2026
Financial Services,20.02,MOTILALOFS,0.18,31-07-2026
Financial Services,20.02,MUTHOOTFIN,0.21,31-07-2026
Financial Services,20.02,NAM-INDIA,0.19,31-07-2026
Financial Services,20.02,NIACL,0.2,31-07-2026
Financial Services,20.02,NIVABUPA,0.2,31-07-2026
Financial Services,20.02,NUVAMA,0.19,31-07-2026
Financial Services,20.02,PAYTM,0.19,31-07-2026
Financial Services,20.02,PFC,0.21,31-07-2026
Financial Services,20.02,PINELABS,0.18,31-07-2026
Financial Services,20.02,PIRAMALFIN,0.19,31-07-2026
Financial Services,20.02,PNB,0.21,31-07-2026
Financial Services,20.02,PNBHOUSING,0.19,31-07-2026
Financial Services,20.02,POLICYBZR,0.2,31-07-2026
Financial Services,20.02,POONAWALLA,0.2,31-07-2026
Financial Services,20.02,RBLBANK,0.2,31-07-2026
Financial Services,20.02,RECLTD,0.21,31-07-2026
Financial Services,20.02,SAMMAANCAP,0.2,31-07-2026
