sector,sector_weight,symbol,weight,as_of_date
Information Technology,24.51,AFFLE,3.36,31-07-2026
Information Technology,24.51,COFORGE,3.6,31-07-2026
Information Technology,24.51,HCLTECH,3.71,31-07-2026
Information Technology,24.51,INFY,3.32,31-07-2026
Information Technology,24.51,PERSISTENT,3.48,31-07-2026
Information Technology,24.51,TCS,3.46,31-07-2026
Information Technology,24.51,TECHM,3.58,31-07-2026
Financial Services,19.18,ANANDRATHI,3.2,31-07-2026
Financial Services,19.18,ANGELONE,2.87,31-07-2026
Financial Services,19.18,BSE,3.09,31-07-2026
Financial Services,19.18,CAMS,3.34,31-07-2026
Financial Services,19.18,CDSL,3.0,31-07-2026
Financial Services,19.18,KARURVYSYA,3.67,31-07-2026
Capital Goods,9.36,APLAPOLLO,3.25,31-07-2026
Capital Goods,9.36,BEL,3.04,31-07-2026
Capital Goods,9.36,POLYCAB,3.07,31-07-2026
Automobile and Auto Components,16.95,ARE&M,3.27,31-07-2026
Automobile and Auto Components,16.95,HEROMOTOCO,3.55,31-07-2026
Automobile and Auto Components,16.95,MARUTI,3.39,31-07-2026
Automobile and Auto Components,16.95,SONACOMS,3.71,31-07-2026
Automobile and Auto Components,16.95,TIINDIA,3.03,31-07-2026
Consumer Durables,9.93,ASIANPAINT,3.34,31-07-2026
Consumer Durables,9.93,CROMPTON,3.2,31-07-2026
Consumer Durables,9.93,DIXON,3.38,31-07-2026
Fast Moving Consumer Goods,16.48,COLPAL,3.32,31-07-2026
Fast Moving Consumer Goods,16.48,HINDUNILVR,3.19,31-07-2026
Fast Moving Consumer Goods,16.48,ITC,3.28,31-07-2026
Fast Moving Consumer Goods,16.48,MARICO,3.3,31-07-2026
Fast Moving Consumer Goods,16.48,NESTLEIND,3.4,31-07-2026
Chemicals,3.59,HSCL,3.59,31-07-2026
