sector,sector_weight,symbol,weight,as_of_date
Healthcare,100.0,ABBOTINDIA,1.04,31-07-2026
Healthcare,100.0,ACUTAAS,1.16,31-07-2026
Healthcare,100.0,AJANTPHARM,1.05,31-07-2026
Healthcare,100.0,ALKEM,2.42,31-07-2026
Healthcare,100.0,ANTHEM,0.52,31-07-2026
Healthcare,100.0,APOLLOHOSP,6.64,31-07-2026
Healthcare,100.0,ASTERDM,1.5,31-07-2026
Healthcare,100.0,AUROPHARMA,3.15,31-07-2026
Healthcare,100.0,BIOCON,2.19,31-07-2026
Healthcare,100.0,BLUEJET,0.23,31-07-2026
Healthcare,100.0,CAPLIPOINT,0.36,31-07-2026
Healthcare,100.0,CIPLA,5.97,31-07-2026
Healthcare,100.0,COHANCE,0.5,31-07-2026
Healthcare,100.0,CONCORDBIO,0.34,31-07-2026
Healthcare,100.0,DIVISLAB,7.37,31-07-2026
Healthcare,100.0,DRREDDY,5.04,31-07-2026
Healthcare,100.0,EMCURE,0.49,31-07-2026
Healthcare,100.0,ERIS,0.53,31-07-2026
Healthcare,100.0,FORTIS,3.55,31-07-2026
Healthcare,100.0,GLAND,1.44,31-07-2026
Healthcare,100.0,GLAXO,0.79,31-07-2026
Healthcare,100.0,GLENMARK,2.42,31-07-2026
Healthcare,100.0,GRANULES,0.86,31-07-2026
Healthcare,100.0,INDGN,0.38,31-07-2026
Healthcare,100.0,IPCALAB,1.75,31-07-2026
Healthcare,100.0,JUBLPHARMA,0.54,31-07-2026
Healthcare,100.0,KIMS,1.5,31-07-2026
Healthcare,100.0,LALPATHLAB,1.07,31-07-2026
Healthcare,100.0,LAURUSLABS,5.09,31-07-2026
Healthcare,100.0,LUPIN,4.22,31-07-2026
Healthcare,100.0,MANKIND,2.01,31-07-2026
Healthcare,100.0,MAXHEALTH,5.89,31-07-2026
Healthcare,100.0,MEDANTA,0.87,31-07-2026
Healthcare,100.0,NATCOPHARM,0.59,31-07-2026
Healthcare,100.0,NEULANDLAB,1.18,31-07-2026
Healthcare,100.0,NH,1.01,31-07-2026
Healthcare,100.0,ONESOURCE,0.92,31-07-2026
Healthcare,100.0,PFIZER,0.53,31-07-2026
Healthcare,100.0,POLYMED,0.47,31-07-2026
Healthcare,100.0,PPLPHARMA,0.88,31-07-2026
Healthcare,100.0,RAINBOW,0.55,31-07-2026
Healthcare,100.0,SAILIFE,1.31,31-07-2026
Healthcare,100.0,SUNPHARMA,10.08,31-07-2026
Healthcare,100.0,SYNGENE,0.53,31-07-2026
Healthcare,100.0,TORNTPHARM,5.41,31-07-2026
Healthcare,100.0,VIJAYA,0.47,31-07-2026
Healthcare,100.0,WOCKPHARMA,1.17,31-07-2026
Healthcare,100.0,ZYDUSLIFE,2.03,31-07-2026
