sector,sector_weight,symbol,weight,as_of_date
Financial Services,27.96,360ONE,0.23,31-07-2026
Financial Services,27.96,AADHARHFC,0.08,31-07-2026
Financial Services,27.96,AAVAS,0.08,31-07-2026
Financial Services,27.96,ABCAPITAL,0.27,31-07-2026
Financial Services,27.96,ABSLAMC,0.11,31-07-2026
Financial Services,27.96,AIIL,0.11,31-07-2026
Financial Services,27.96,ANANDRATHI,0.29,31-07-2026
Financial Services,27.96,ANGELONE,0.3,31-07-2026
Financial Services,27.96,APTUS,0.14,31-07-2026
Financial Services,27.96,AUBANK,0.47,31-07-2026
Financial Services,27.96,AXISBANK,0.86,31-07-2026
Financial Services,27.96,BAJAJFINSV,0.29,31-07-2026
Financial Services,27.96,BAJAJHFL,0.08,31-07-2026
Financial Services,27.96,BAJAJHLDNG,0.12,31-07-2026
Financial Services,27.96,BAJFINANCE,0.75,31-07-2026
Financial Services,27.96,BANDHANBNK,0.25,31-07-2026
Financial Services,27.96,BANKBARODA,0.11,31-07-2026
Financial Services,27.96,BANKINDIA,0.13,31-07-2026
Financial Services,27.96,BSE,1.19,31-07-2026
Financial Services,27.96,CAMS,0.3,31-07-2026
Financial Services,27.96,CANBK,0.1,31-07-2026
Financial Services,27.96,CANFINHOME,0.11,31-07-2026
Financial Services,27.96,CANHLIFE,0.05,31-07-2026
Financial Services,27.96,CDSL,0.37,31-07-2026
Financial Services,27.96,CENTRALBK,0.08,31-07-2026
Financial Services,27.96,CGCL,0.14,31-07-2026
Financial Services,27.96,CHOICEIN,0.11,31-07-2026
Financial Services,27.96,CHOLAFIN,0.2,31-07-2026
Financial Services,27.96,CHOLAHLDNG,0.23,31-07-2026
Financial Services,27.96,CREDITACC,0.13,31-07-2026
Financial Services,27.96,CRISIL,0.08,31-07-2026
Financial Services,27.96,CUB,0.31,31-07-2026
Financial Services,27.96,FEDERALBNK,0.71,31-07-2026
Financial Services,27.96,FIVESTAR,0.16,31-07-2026
Financial Services,27.96,GICRE,0.11,31-07-2026
Financial Services,27.96,GODIGIT,0.09,31-07-2026
Financial Services,27.96,GROWW,0.12,31-07-2026
Financial Services,27.96,HDBFS,0.12,31-07-2026
Financial Services,27.96,HDFCAMC,0.13,31-07-2026
Financial Services,27.96,HDFCBANK,2.8,31-07-2026
Financial Services,27.96,HDFCLIFE,0.14,31-07-2026
