sector,sector_weight,symbol,weight,as_of_date
Financial Services,29.29,360ONE,0.18,31-07-2026
Financial Services,29.29,AADHARHFC,0.06,31-07-2026
Financial Services,29.29,AAVAS,0.06,31-07-2026
Financial Services,29.29,ABCAPITAL,0.2,31-07-2026
Financial Services,29.29,ABSLAMC,0.09,31-07-2026
Financial Services,29.29,AIIL,0.09,31-07-2026
Financial Services,29.29,ANANDRATHI,0.21,31-07-2026
Financial Services,29.29,ANGELONE,0.22,31-07-2026
Financial Services,29.29,APTUS,0.11,31-07-2026
Financial Services,29.29,AUBANK,0.35,31-07-2026
Financial Services,29.29,AXISBANK,1.29,31-07-2026
Financial Services,29.29,BAJAJFINSV,0.43,31-07-2026
Financial Services,29.29,BAJAJHFL,0.06,31-07-2026
Financial Services,29.29,BAJAJHLDNG,0.18,31-07-2026
Financial Services,29.29,BAJFINANCE,1.12,31-07-2026
Financial Services,29.29,BANDHANBNK,0.18,31-07-2026
Financial Services,29.29,BANKBARODA,0.17,31-07-2026
Financial Services,29.29,BANKINDIA,0.1,31-07-2026
Financial Services,29.29,BSE,0.89,31-07-2026
Financial Services,29.29,CAMS,0.22,31-07-2026
Financial Services,29.29,CANBK,0.15,31-07-2026
Financial Services,29.29,CANFINHOME,0.08,31-07-2026
Financial Services,29.29,CANHLIFE,0.04,31-07-2026
Financial Services,29.29,CDSL,0.27,31-07-2026
Financial Services,29.29,CENTRALBK,0.06,31-07-2026
Financial Services,29.29,CGCL,0.1,31-07-2026
Financial Services,29.29,CHOICEIN,0.08,31-07-2026
Financial Services,29.29,CHOLAFIN,0.29,31-07-2026
Financial Services,29.29,CHOLAHLDNG,0.18,31-07-2026
Financial Services,29.29,CREDITACC,0.1,31-07-2026
Financial Services,29.29,CRISIL,0.06,31-07-2026
Financial Services,29.29,CUB,0.23,31-07-2026
Financial Services,29.29,FEDERALBNK,0.53,31-07-2026
Financial Services,29.29,FIVESTAR,0.12,31-07-2026
Financial Services,29.29,GICRE,0.08,31-07-2026
Financial Services,29.29,GODIGIT,0.07,31-07-2026
Financial Services,29.29,GROWW,0.09,31-07-2026
Financial Services,29.29,HDBFS,0.09,31-07-2026
Financial Services,29.29,HDFCAMC,0.2,31-07-2026
Financial Services,29.29,HDFCBANK,4.2,31-07-2026
Financial Services,29.29,HDFCLIFE,0.22,31-07-2026
Financial Services,29.29,HOMEFIRST,0.13,31-07-2026
Financial Services,29.29,HUDCO,0.06,31-07-2026
Financial Services,29.29,ICICIAMC,0.09,31-07-2026
Financial Services,29.29,ICICIBANK,3.77,31-07-2026
Financial Services,29.29,ICICIGI,0.24,31-07-2026
Financial Services,29.29,ICICIPRULI,0.12,31-07-2026
Financial Services,29.29,IDBI,0.05,31-07-2026
Financial Services,29.29,IDFCFIRSTB,0.34,31-07-2026
Financial Services,29.29,IEX,0.12,31-07-2026
Financial Services,29.29,IFCI,0.06,31-07-2026
Financial Services,29.29,IIFL,0.16,31-07-2026
Financial Services,29.29,INDIANB,0.18,31-07-2026
Financial Services,29.29,INDUSINDBK,0.4,31-07-2026
Financial Services,29.29,IOB,0.06,31-07-2026
Financial Services,29.29,IREDA,0.06,31-07-2026
Financial Services,29.29,IRFC,0.07,31-07-2026
Financial Services,29.29,J&KBANK,0.08,31-07-2026
Financial Services,29.29,JIOFIN,0.31,31-07-2026
Financial Services,29.29,JMFINANCIL,0.05,31-07-2026
Financial Services,29.29,KARURVYSYA,0.37,31-07-2026
Financial Services,29.29,KFINTECH,0.14,31-07-2026
Financial Services,29.29,KOTAKBANK,1.05,31-07-2026
Financial Services,29.29,LICHSGFIN,0.09,31-07-2026
Financial Services,29.29,LICI,0.11,31-07-2026
Financial Services,29.29,LTF,0.16,31-07-2026
Financial Services,29.29,M&MFIN,0.15,31-07-2026
Financial Services,29.29,MAHABANK,0.1,31-07-2026
Financial Services,29.29,MANAPPURAM,0.24,31-07-2026
Financial Services,29.29,MCX,0.41,31-07-2026
Financial Services,29.29,MFSL,0.24,31-07-2026
Financial Services,29.29,MOTILALOFS,0.08,31-07-2026
Financial Services,29.29,MUTHOOTFIN,0.12,31-07-2026
Financial Services,29.29,NAM-INDIA,0.12,31-07-2026
Financial Services,29.29,NIACL,0.02,31-07-2026
Financial Services,29.29,NIVABUPA,0.06,31-07-2026
Financial Services,29.29,NUVAMA,0.16,31-07-2026
Financial Services,29.29,PAYTM,0.34,31-07-2026
Financial Services,29.29,PFC,0.23,31-07-2026
Financial Services,29.29,PINELABS,0.03,31-07-2026
Financial Services,29.29,PIRAMALFIN,0.29,31-07-2026
Financial Services,29.29,PNB,0.14,31-07-2026
Financial Services,29.29,PNBHOUSING,0.23,31-07-2026
Financial Services,29.29,POLICYBZR,0.33,31-07-2026
Financial Services,29.29,POONAWALLA,0.19,31-07-2026
Financial Services,29.29,RBLBANK,0.27,31-07-2026
Financial Services,29.29,RECLTD,0.17,31-07-2026
Financial Services,29.29,SAMMAANCAP,0.14,31-07-2026
Financial Services,29.29,SBFC,0.04,31-07-2026
Financial Services,29.29,SBICARD,0.12,31-07-2026
Financial Services,29.29,SBILIFE,0.31,31-07-2026
Financial Services,29.29,SBIN,1.56,31-07-2026
Financial Services,29.29,SHRIRAMFIN,0.54,31-07-2026
Financial Services,29.29,STARHEALTH,0.16,31-07-2026
Financial Services,29.29,SUNDARMFIN,0.19,31-07-2026
Financial Services,29.29,TATACAP,0.07,31-07-2026
Financial Services,29.29,TATAINVEST,0.05,31-07-2026
Financial Services,29.29,UCOBANK,0.03,31-07-2026
Financial Services,29.29,UNIONBANK,0.12,31-07-2026
Financial Services,29.29,UTIAMC,0.04,31-07-2026
Financial Services,29.29,YESBANK,0.24,31-07-2026
Diversified,0.14,3MINDIA,0.06,31-07-2026
Diversified,0.14,DCMSHRIRAM,0.05,31-07-2026
Diversified,0.14,GODREJIND,0.03,31-07-2026
Chemicals,3.06,AARTIIND,0.12,31-07-2026
Chemicals,3.06,ANURAS,0.04,31-07-2026
Chemicals,3.06,ATUL,0.12,31-07-2026
Chemicals,3.06,BAYERCROP,0.06,31-07-2026
Chemicals,3.06,CHAMBLFERT,0.08,31-07-2026
Chemicals,3.06,CLEAN,0.04,31-07-2026
Chemicals,3.06,COROMANDEL,0.15,31-07-2026
Chemicals,3.06,DEEPAKFERT,0.12,31-07-2026
Chemicals,3.06,DEEPAKNTR,0.13,31-07-2026
Chemicals,3.06,FACT,0.06,31-07-2026
Chemicals,3.06,FLUOROCHEM,0.11,31-07-2026
Chemicals,3.06,HSCL,0.2,31-07-2026
Chemicals,3.06,JUBLINGREA,0.07,31-07-2026
Chemicals,3.06,LINDEINDIA,0.08,31-07-2026
Chemicals,3.06,NAVINFLUOR,0.32,31-07-2026
Chemicals,3.06,PARADEEP,0.07,31-07-2026
Chemicals,3.06,PCBL,0.06,31-07-2026
Chemicals,3.06,PIDILITIND,0.18,31-07-2026
Chemicals,3.06,PIIND,0.13,31-07-2026
Chemicals,3.06,SOLARINDS,0.16,31-07-2026
Chemicals,3.06,SPLPETRO,0.05,31-07-2026
Chemicals,3.06,SRF,0.23,31-07-2026
Chemicals,3.06,SUMICHEM,0.07,31-07-2026
Chemicals,3.06,SWANCORP,0.05,31-07-2026
Chemicals,3.06,TATACHEM,0.12,31-07-2026
Chemicals,3.06,UPL,0.2,31-07-2026
Capital Goods,8.58,ABB,0.14,31-07-2026
Capital Goods,8.58,ACE,0.05,31-07-2026
Capital Goods,8.58,AIAENG,0.11,31-07-2026
Capital Goods,8.58,APARINDS,0.14,31-07-2026
Capital Goods,8.58,APLAPOLLO,0.2,31-07-2026
Capital Goods,8.58,ASHOKLEY,0.28,31-07-2026
Capital Goods,8.58,ASTRAL,0.11,31-07-2026
Capital Goods,8.58,BDL,0.07,31-07-2026
Capital Goods,8.58,BEL,0.51,31-07-2026
Capital Goods,8.58,BEML,0.08,31-07-2026
Capital Goods,8.58,BHEL,0.35,31-07-2026
Capital Goods,8.58,CARBORUNIV,0.14,31-07-2026
Capital Goods,8.58,CGPOWER,0.22,31-07-2026
Capital Goods,8.58,COCHINSHIP,0.07,31-07-2026
Capital Goods,8.58,CPPLUS,0.11,31-07-2026
Capital Goods,8.58,CUMMINSIND,0.27,31-07-2026
Capital Goods,8.58,DATAPATTNS,0.15,31-07-2026
Capital Goods,8.58,ELECON,0.04,31-07-2026
Capital Goods,8.58,ELGIEQUIP,0.14,31-07-2026
Capital Goods,8.58,EMMVEE,0.05,31-07-2026
Capital Goods,8.58,ENRIN,0.1,31-07-2026
Capital Goods,8.58,ESCORTS,0.06,31-07-2026
Capital Goods,8.58,FINCABLES,0.09,31-07-2026
Capital Goods,8.58,GALLANTT,0.02,31-07-2026
Capital Goods,8.58,GPIL,0.07,31-07-2026
Capital Goods,8.58,GRAPHITE,0.05,31-07-2026
Capital Goods,8.58,GRSE,0.09,31-07-2026
Capital Goods,8.58,GVT&D,0.32,31-07-2026
Capital Goods,8.58,HAL,0.32,31-07-2026
Capital Goods,8.58,HBLENGINE,0.09,31-07-2026
Capital Goods,8.58,HEG,0.06,31-07-2026
Capital Goods,8.58,HONAUT,0.05,31-07-2026
Capital Goods,8.58,INOXWIND,0.09,31-07-2026
Capital Goods,8.58,JINDALSAW,0.07,31-07-2026
Capital Goods,8.58,JWL,0.04,31-07-2026
Capital Goods,8.58,JYOTICNC,0.08,31-07-2026
Capital Goods,8.58,KAYNES,0.14,31-07-2026
Capital Goods,8.58,KEI,0.18,31-07-2026
Capital Goods,8.58,KIRLOSENG,0.21,31-07-2026
Capital Goods,8.58,MAZDOCK,0.07,31-07-2026
Capital Goods,8.58,POLYCAB,0.29,31-07-2026
Capital Goods,8.58,POWERINDIA,0.24,31-07-2026
Capital Goods,8.58,PREMIERENE,0.07,31-07-2026
Capital Goods,8.58,PTCIL,0.12,31-07-2026
Capital Goods,8.58,RHIM,0.03,31-07-2026
Capital Goods,8.58,RRKABEL,0.1,31-07-2026
Capital Goods,8.58,SCHNEIDER,0.09,31-07-2026
Capital Goods,8.58,SHYAMMETL,0.08,31-07-2026
Capital Goods,8.58,SIEMENS,0.12,31-07-2026
Capital Goods,8.58,SUPREMEIND,0.13,31-07-2026
Capital Goods,8.58,SUZLON,0.35,31-07-2026
Capital Goods,8.58,SYRMA,0.12,31-07-2026
Capital Goods,8.58,TARIL,0.04,31-07-2026
Capital Goods,8.58,TEGA,0.03,31-07-2026
Capital Goods,8.58,THERMAX,0.1,31-07-2026
Capital Goods,8.58,TIMKEN,0.13,31-07-2026
Capital Goods,8.58,TITAGARH,0.08,31-07-2026
Capital Goods,8.58,TMCV,0.33,31-07-2026
Capital Goods,8.58,TRITURBINE,0.08,31-07-2026
Capital Goods,8.58,USHAMART,0.1,31-07-2026
