sector,sector_weight,symbol,weight,as_of_date
Consumer Durables,5.25,ASIANPAINT,5.25,31-07-2026
Healthcare,18.82,CIPLA,3.5,31-07-2026
Healthcare,18.82,DRREDDY,2.96,31-07-2026
Healthcare,18.82,MAXHEALTH,3.45,31-07-2026
Healthcare,18.82,SUNPHARMA,8.91,31-07-2026
Information Technology,37.38,HCLTECH,6.0,31-07-2026
Information Technology,37.38,INFY,16.75,31-07-2026
Information Technology,37.38,TCS,10.2,31-07-2026
Information Technology,37.38,TECHM,4.43,31-07-2026
Metals & Mining,5.96,HINDALCO,5.96,31-07-2026
Fast Moving Consumer Goods,15.43,HINDUNILVR,7.88,31-07-2026
Fast Moving Consumer Goods,15.43,NESTLEIND,4.57,31-07-2026
Fast Moving Consumer Goods,15.43,TATACONSUM,2.98,31-07-2026
Oil Gas & Consumable Fuels,3.98,ONGC,3.98,31-07-2026
Automobile and Auto Components,3.0,TMPV,3.0,31-07-2026
Consumer Services,4.23,TRENT,4.23,31-07-2026
Construction Materials,5.95,ULTRACEMCO,5.95,31-07-2026
