sector,sector_weight,symbol,weight,as_of_date
Financial Services,46.58,AXISBANK,4.85,31-07-2026
Financial Services,46.58,BAJAJFINSV,1.53,31-07-2026
Financial Services,46.58,HDFCBANK,14.19,31-07-2026
Financial Services,46.58,ICICIBANK,12.79,31-07-2026
Financial Services,46.58,KOTAKBANK,3.27,31-07-2026
Financial Services,46.58,SBIN,9.96,31-07-2026
Oil Gas & Consumable Fuels,19.35,COALINDIA,2.85,31-07-2026
Oil Gas & Consumable Fuels,19.35,ONGC,4.0,31-07-2026
Oil Gas & Consumable Fuels,19.35,RELIANCE,12.51,31-07-2026
Construction Materials,1.97,GRASIM,1.97,31-07-2026
Information Technology,14.02,HCLTECH,2.55,31-07-2026
Information Technology,14.02,INFY,6.57,31-07-2026
Information Technology,14.02,TCS,4.04,31-07-2026
Information Technology,14.02,WIPRO,0.86,31-07-2026
Metals & Mining,4.3,HINDALCO,2.31,31-07-2026
Metals & Mining,4.3,TATASTEEL,1.99,31-07-2026
Fast Moving Consumer Goods,5.43,ITC,5.43,31-07-2026
Power,5.01,NTPC,2.92,31-07-2026
Power,5.01,POWERGRID,2.1,31-07-2026
Automobile and Auto Components,3.34,TMPV,3.34,31-07-2026
