sector,sector_weight,symbol,weight,as_of_date
Capital Goods,4.16,ABB,0.28,31-07-2026
Capital Goods,4.16,BEL,1.01,31-07-2026
Capital Goods,4.16,CGPOWER,0.43,31-07-2026
Capital Goods,4.16,CUMMINSIND,0.54,31-07-2026
Capital Goods,4.16,ENRIN,0.21,31-07-2026
Capital Goods,4.16,HAL,0.64,31-07-2026
Capital Goods,4.16,MAZDOCK,0.13,31-07-2026
Capital Goods,4.16,SIEMENS,0.24,31-07-2026
Capital Goods,4.16,TMCV,0.67,31-07-2026
Power,3.98,ADANIENSOL,0.39,31-07-2026
Power,3.98,ADANIGREEN,0.34,31-07-2026
Power,3.98,ADANIPOWER,0.64,31-07-2026
Power,3.98,NTPC,1.2,31-07-2026
Power,3.98,POWERGRID,0.94,31-07-2026
Power,3.98,TATAPOWER,0.46,31-07-2026
Metals & Mining,4.49,ADANIENT,0.63,31-07-2026
Metals & Mining,4.49,HINDALCO,1.03,31-07-2026
Metals & Mining,4.49,HINDZINC,0.19,31-07-2026
Metals & Mining,4.49,JINDALSTEL,0.3,31-07-2026
Metals & Mining,4.49,JSWSTEEL,0.87,31-07-2026
Metals & Mining,4.49,TATASTEEL,1.15,31-07-2026
Metals & Mining,4.49,VEDL,0.33,31-07-2026
Services,1.77,ADANIPORTS,0.91,31-07-2026
Services,1.77,INDIGO,0.85,31-07-2026
Construction Materials,2.33,AMBUJACEM,0.2,31-07-2026
Construction Materials,2.33,GRASIM,0.85,31-07-2026
Construction Materials,2.33,SHREECEM,0.25,31-07-2026
Construction Materials,2.33,ULTRACEMCO,1.03,31-07-2026
Healthcare,5.43,APOLLOHOSP,0.67,31-07-2026
Healthcare,5.43,CIPLA,0.61,31-07-2026
Healthcare,5.43,DIVISLAB,0.75,31-07-2026
Healthcare,5.43,DRREDDY,0.51,31-07-2026
Healthcare,5.43,MAXHEALTH,0.6,31-07-2026
Healthcare,5.43,SUNPHARMA,1.54,31-07-2026
Healthcare,5.43,TORNTPHARM,0.55,31-07-2026
Healthcare,5.43,ZYDUSLIFE,0.21,31-07-2026
Consumer Durables,2.38,ASIANPAINT,0.91,31-07-2026
Consumer Durables,2.38,TITAN,1.47,31-07-2026
Financial Services,33.27,AXISBANK,2.58,31-07-2026
Financial Services,33.27,BAJAJFINSV,0.86,31-07-2026
