sector,sector_weight,symbol,weight,as_of_date
Healthcare,18.25,APOLLOHOSP,3.96,31-07-2026
Healthcare,18.25,LUPIN,3.54,31-07-2026
Healthcare,18.25,SUNPHARMA,3.63,31-07-2026
Healthcare,18.25,TORNTPHARM,4.64,31-07-2026
Healthcare,18.25,ZYDUSLIFE,2.48,31-07-2026
Consumer Durables,6.04,ASIANPAINT,2.85,31-07-2026
Consumer Durables,6.04,TITAN,3.19,31-07-2026
Automobile and Auto Components,12.81,BAJAJ-AUTO,3.9,31-07-2026
Automobile and Auto Components,12.81,EICHERMOT,3.05,31-07-2026
Automobile and Auto Components,12.81,MARUTI,2.74,31-07-2026
Automobile and Auto Components,12.81,TVSMOTOR,3.12,31-07-2026
Telecommunication,3.43,BHARTIARTL,3.43,31-07-2026
Fast Moving Consumer Goods,13.59,BRITANNIA,2.99,31-07-2026
Fast Moving Consumer Goods,13.59,MARICO,4.06,31-07-2026
Fast Moving Consumer Goods,13.59,NESTLEIND,3.94,31-07-2026
Fast Moving Consumer Goods,13.59,TATACONSUM,2.61,31-07-2026
Oil Gas & Consumable Fuels,5.58,COALINDIA,2.73,31-07-2026
Oil Gas & Consumable Fuels,5.58,RELIANCE,2.85,31-07-2026
Capital Goods,3.72,CUMMINSIND,3.72,31-07-2026
Financial Services,16.33,FEDERALBNK,3.68,31-07-2026
Financial Services,16.33,ICICIBANK,3.77,31-07-2026
Financial Services,16.33,MFSL,2.19,31-07-2026
Financial Services,16.33,SBILIFE,3.6,31-07-2026
Financial Services,16.33,SBIN,3.09,31-07-2026
Construction Materials,6.11,GRASIM,3.36,31-07-2026
Construction Materials,6.11,ULTRACEMCO,2.75,31-07-2026
Metals & Mining,6.99,HINDALCO,3.62,31-07-2026
Metals & Mining,6.99,JSWSTEEL,3.37,31-07-2026
Power,4.06,NTPC,4.06,31-07-2026
Chemicals,3.09,PIDILITIND,3.09,31-07-2026
