sector,sector_weight,symbol,weight,as_of_date
Healthcare,24.32,ALKEM,2.96,31-07-2026
Healthcare,24.32,AUROPHARMA,2.55,31-07-2026
Healthcare,24.32,CIPLA,2.95,31-07-2026
Healthcare,24.32,DRREDDY,2.26,31-07-2026
Healthcare,24.32,LUPIN,3.18,31-07-2026
Healthcare,24.32,SUNPHARMA,3.31,31-07-2026
Healthcare,24.32,TORNTPHARM,3.93,31-07-2026
Healthcare,24.32,ZYDUSLIFE,3.17,31-07-2026
Automobile and Auto Components,12.45,BAJAJ-AUTO,3.66,31-07-2026
Automobile and Auto Components,12.45,EICHERMOT,2.91,31-07-2026
Automobile and Auto Components,12.45,HEROMOTOCO,2.99,31-07-2026
Automobile and Auto Components,12.45,MARUTI,2.89,31-07-2026
Fast Moving Consumer Goods,21.45,BRITANNIA,3.28,31-07-2026
Fast Moving Consumer Goods,21.45,COLPAL,3.18,31-07-2026
Fast Moving Consumer Goods,21.45,HINDUNILVR,2.93,31-07-2026
Fast Moving Consumer Goods,21.45,ITC,3.44,31-07-2026
Fast Moving Consumer Goods,21.45,MARICO,4.23,31-07-2026
Fast Moving Consumer Goods,21.45,NESTLEIND,4.39,31-07-2026
Oil Gas & Consumable Fuels,7.81,COALINDIA,3.72,31-07-2026
Oil Gas & Consumable Fuels,7.81,ONGC,4.09,31-07-2026
Financial Services,14.15,FEDERALBNK,3.47,31-07-2026
Financial Services,14.15,ICICIBANK,3.54,31-07-2026
Financial Services,14.15,PFC,3.65,31-07-2026
Financial Services,14.15,SBIN,3.48,31-07-2026
Construction Materials,3.15,GRASIM,3.15,31-07-2026
Metals & Mining,9.47,HINDALCO,3.47,31-07-2026
Metals & Mining,9.47,HINDZINC,3.02,31-07-2026
Metals & Mining,9.47,NMDC,2.98,31-07-2026
Power,3.63,NTPC,3.63,31-07-2026
Information Technology,3.57,TCS,3.57,31-07-2026
