sector,sector_weight,symbol,weight,as_of_date
Healthcare,26.99,ALKEM,3.17,31-07-2026
Healthcare,26.99,CIPLA,3.08,31-07-2026
Healthcare,26.99,DIVISLAB,3.38,31-07-2026
Healthcare,26.99,DRREDDY,2.26,31-07-2026
Healthcare,26.99,LUPIN,3.5,31-07-2026
Healthcare,26.99,SUNPHARMA,3.68,31-07-2026
Healthcare,26.99,TORNTPHARM,4.53,31-07-2026
Healthcare,26.99,ZYDUSLIFE,3.39,31-07-2026
Consumer Durables,3.05,ASIANPAINT,3.05,31-07-2026
Automobile and Auto Components,15.65,BAJAJ-AUTO,4.08,31-07-2026
Automobile and Auto Components,15.65,BOSCHLTD,2.47,31-07-2026
Automobile and Auto Components,15.65,EICHERMOT,3.24,31-07-2026
Automobile and Auto Components,15.65,HEROMOTOCO,2.86,31-07-2026
Automobile and Auto Components,15.65,MARUTI,3.0,31-07-2026
Capital Goods,9.32,BEL,2.34,31-07-2026
Capital Goods,9.32,CUMMINSIND,3.81,31-07-2026
Capital Goods,9.32,POLYCAB,3.17,31-07-2026
Fast Moving Consumer Goods,26.35,BRITANNIA,3.71,31-07-2026
Fast Moving Consumer Goods,26.35,COLPAL,3.61,31-07-2026
Fast Moving Consumer Goods,26.35,DABUR,2.56,31-07-2026
Fast Moving Consumer Goods,26.35,HINDUNILVR,3.2,31-07-2026
Fast Moving Consumer Goods,26.35,ITC,3.19,31-07-2026
Fast Moving Consumer Goods,26.35,MARICO,4.94,31-07-2026
Fast Moving Consumer Goods,26.35,NESTLEIND,5.14,31-07-2026
Oil Gas & Consumable Fuels,3.07,COALINDIA,3.07,31-07-2026
Financial Services,6.24,HDFCAMC,2.57,31-07-2026
Financial Services,6.24,ICICIBANK,3.67,31-07-2026
Metals & Mining,2.61,NMDC,2.61,31-07-2026
Chemicals,3.34,PIDILITIND,3.34,31-07-2026
Information Technology,3.37,TCS,3.37,31-07-2026
