sector,sector_weight,symbol,weight,as_of_date
Capital Goods,3.71,ASHOKLEY,3.71,31-07-2026
Automobile and Auto Components,96.29,BAJAJ-AUTO,9.96,31-07-2026
Automobile and Auto Components,96.29,BHARATFORG,4.58,31-07-2026
Automobile and Auto Components,96.29,BOSCHLTD,2.78,31-07-2026
Automobile and Auto Components,96.29,EICHERMOT,8.43,31-07-2026
Automobile and Auto Components,96.29,EXIDEIND,1.6,31-07-2026
Automobile and Auto Components,96.29,HEROMOTOCO,5.46,31-07-2026
Automobile and Auto Components,96.29,M&M,23.68,31-07-2026
Automobile and Auto Components,96.29,MARUTI,14.49,31-07-2026
Automobile and Auto Components,96.29,MOTHERSON,5.2,31-07-2026
Automobile and Auto Components,96.29,SONACOMS,2.69,31-07-2026
Automobile and Auto Components,96.29,TIINDIA,2.3,31-07-2026
Automobile and Auto Components,96.29,TMPV,5.54,31-07-2026
Automobile and Auto Components,96.29,TVSMOTOR,7.91,31-07-2026
Automobile and Auto Components,96.29,UNOMINDA,1.68,31-07-2026
