sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,AUBANK,4.71,31-07-2026
Financial Services,100.0,AXISBANK,8.81,31-07-2026
Financial Services,100.0,BANKBARODA,3.58,31-07-2026
Financial Services,100.0,CANBK,3.32,31-07-2026
Financial Services,100.0,FEDERALBNK,7.29,31-07-2026
Financial Services,100.0,HDFCBANK,18.2,31-07-2026
Financial Services,100.0,ICICIBANK,14.86,31-07-2026
Financial Services,100.0,IDFCFIRSTB,4.67,31-07-2026
Financial Services,100.0,INDUSINDBK,5.5,31-07-2026
Financial Services,100.0,KOTAKBANK,9.32,31-07-2026
Financial Services,100.0,PNB,3.37,31-07-2026
Financial Services,100.0,SBIN,10.09,31-07-2026
Financial Services,100.0,UNIONBANK,2.91,31-07-2026
Financial Services,100.0,YESBANK,3.37,31-07-2026
