sector,sector_weight,symbol,weight,as_of_date
Capital Goods,100.0,ABB,2.84,31-07-2026
Capital Goods,100.0,AIAENG,1.33,31-07-2026
Capital Goods,100.0,APARINDS,1.8,31-07-2026
Capital Goods,100.0,APLAPOLLO,2.46,31-07-2026
Capital Goods,100.0,ASHOKLEY,3.54,31-07-2026
Capital Goods,100.0,ASTRAL,1.32,31-07-2026
Capital Goods,100.0,ASTRAMICRO,1.17,31-07-2026
Capital Goods,100.0,BDL,0.86,31-07-2026
Capital Goods,100.0,BEL,10.34,31-07-2026
Capital Goods,100.0,BEML,0.5,31-07-2026
Capital Goods,100.0,BHEL,4.42,31-07-2026
Capital Goods,100.0,CARBORUNIV,0.91,31-07-2026
Capital Goods,100.0,CGPOWER,4.41,31-07-2026
Capital Goods,100.0,COCHINSHIP,0.9,31-07-2026
Capital Goods,100.0,CUMMINSIND,5.55,31-07-2026
Capital Goods,100.0,DATAPATTNS,0.96,31-07-2026
Capital Goods,100.0,ELGIEQUIP,0.91,31-07-2026
Capital Goods,100.0,ENRIN,2.13,31-07-2026
Capital Goods,100.0,ESCORTS,0.76,31-07-2026
Capital Goods,100.0,FINCABLES,0.56,31-07-2026
Capital Goods,100.0,FINPIPE,0.34,31-07-2026
Capital Goods,100.0,GRSE,0.57,31-07-2026
Capital Goods,100.0,GVT&D,3.99,31-07-2026
Capital Goods,100.0,HAL,6.56,31-07-2026
Capital Goods,100.0,HBLENGINE,0.6,31-07-2026
Capital Goods,100.0,HONAUT,0.63,31-07-2026
Capital Goods,100.0,INOXWIND,0.56,31-07-2026
Capital Goods,100.0,JYOTICNC,0.51,31-07-2026
Capital Goods,100.0,KAYNES,0.89,31-07-2026
Capital Goods,100.0,KEI,2.3,31-07-2026
Capital Goods,100.0,KIRLOSENG,1.36,31-07-2026
Capital Goods,100.0,MAZDOCK,1.35,31-07-2026
Capital Goods,100.0,POLYCAB,3.62,31-07-2026
Capital Goods,100.0,POWERINDIA,3.05,31-07-2026
Capital Goods,100.0,PRAJIND,0.29,31-07-2026
Capital Goods,100.0,PREMIERENE,0.9,31-07-2026
Capital Goods,100.0,PTCIL,0.8,31-07-2026
Capital Goods,100.0,SIEMENS,2.47,31-07-2026
Capital Goods,100.0,SUPREMEIND,1.66,31-07-2026
Capital Goods,100.0,SUZLON,4.35,31-07-2026
Capital Goods,100.0,TDPOWERSYS,0.96,31-07-2026
Capital Goods,100.0,THERMAX,1.24,31-07-2026
Capital Goods,100.0,TIMKEN,0.84,31-07-2026
Capital Goods,100.0,TITAGARH,0.49,31-07-2026
Capital Goods,100.0,TMCV,6.79,31-07-2026
Capital Goods,100.0,TRITURBINE,0.52,31-07-2026
Capital Goods,100.0,USHAMART,0.67,31-07-2026
Capital Goods,100.0,VOLTAMP,0.52,31-07-2026
Capital Goods,100.0,WAAREEENER,1.91,31-07-2026
Capital Goods,100.0,WELCORP,1.61,31-07-2026
