sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,360ONE,6.89,31-07-2026
Financial Services,100.0,ABSLAMC,1.73,31-07-2026
Financial Services,100.0,ANANDRATHI,4.33,31-07-2026
Financial Services,100.0,ANGELONE,4.53,31-07-2026
Financial Services,100.0,BSE,19.3,31-07-2026
Financial Services,100.0,CAMS,4.48,31-07-2026
Financial Services,100.0,CDSL,5.56,31-07-2026
Financial Services,100.0,GROWW,3.5,31-07-2026
Financial Services,100.0,HDFCAMC,12.49,31-07-2026
Financial Services,100.0,ICICIAMC,3.57,31-07-2026
Financial Services,100.0,IEX,2.46,31-07-2026
Financial Services,100.0,KFINTECH,2.94,31-07-2026
Financial Services,100.0,MCX,16.08,31-07-2026
Financial Services,100.0,MOTILALOFS,3.12,31-07-2026
Financial Services,100.0,NAM-INDIA,4.88,31-07-2026
Financial Services,100.0,NUVAMA,3.26,31-07-2026
Financial Services,100.0,UTIAMC,0.89,31-07-2026
