sector,sector_weight,symbol,weight,as_of_date
Construction Materials,100.0,ACC,4.31,31-07-2026
Construction Materials,100.0,AMBUJACEM,14.27,31-07-2026
Construction Materials,100.0,BIRLACORPN,1.34,31-07-2026
Construction Materials,100.0,DALBHARAT,7.58,31-07-2026
Construction Materials,100.0,GRASIM,14.77,31-07-2026
Construction Materials,100.0,INDIACEM,1.45,31-07-2026
Construction Materials,100.0,JKCEMENT,12.06,31-07-2026
Construction Materials,100.0,JKLAKSHMI,2.01,31-07-2026
Construction Materials,100.0,JSWCEMENT,1.88,31-07-2026
Construction Materials,100.0,NUVOCO,1.83,31-07-2026
Construction Materials,100.0,ORIENTCEM,0.38,31-07-2026
Construction Materials,100.0,PRSMJOHNSN,0.69,31-07-2026
Construction Materials,100.0,RAMCOCEM,6.15,31-07-2026
Construction Materials,100.0,SHREECEM,14.89,31-07-2026
Construction Materials,100.0,STARCEMENT,0.88,31-07-2026
Construction Materials,100.0,ULTRACEMCO,15.52,31-07-2026
