sector,sector_weight,symbol,weight,as_of_date
Chemicals,100.0,AARTIIND,2.7,31-07-2026
Chemicals,100.0,ATUL,2.87,31-07-2026
Chemicals,100.0,BAYERCROP,1.45,31-07-2026
Chemicals,100.0,CHAMBLFERT,1.75,31-07-2026
Chemicals,100.0,COROMANDEL,6.64,31-07-2026
Chemicals,100.0,DEEPAKFERT,2.79,31-07-2026
Chemicals,100.0,DEEPAKNTR,3.06,31-07-2026
Chemicals,100.0,FLUOROCHEM,4.94,31-07-2026
Chemicals,100.0,HSCL,4.73,31-07-2026
Chemicals,100.0,LINDEINDIA,3.81,31-07-2026
Chemicals,100.0,NAVINFLUOR,7.47,31-07-2026
Chemicals,100.0,PCBL,1.5,31-07-2026
Chemicals,100.0,PIDILITIND,13.38,31-07-2026
Chemicals,100.0,PIIND,5.97,31-07-2026
Chemicals,100.0,SOLARINDS,12.01,31-07-2026
Chemicals,100.0,SRF,10.21,31-07-2026
Chemicals,100.0,SUMICHEM,1.68,31-07-2026
Chemicals,100.0,SWANCORP,1.15,31-07-2026
Chemicals,100.0,TATACHEM,2.83,31-07-2026
Chemicals,100.0,UPL,9.08,31-07-2026
