sector,sector_weight,symbol,weight,as_of_date
Services,99.99,ADANIPORTS,18.28,31-07-2026
Services,99.99,AWFIS,0.44,31-07-2026
Services,99.99,BLACKBUCK,1.82,31-07-2026
Services,99.99,BLUEDART,0.97,31-07-2026
Services,99.99,CMSINFO,1.3,31-07-2026
Services,99.99,CONCOR,5.79,31-07-2026
Services,99.99,DELHIVERY,8.62,31-07-2026
Services,99.99,ECLERX,2.4,31-07-2026
Services,99.99,FSL,3.06,31-07-2026
Services,99.99,GESHIP,4.27,31-07-2026
Services,99.99,GMRAIRPORT,11.96,31-07-2026
Services,99.99,GPPL,1.3,31-07-2026
Services,99.99,HEMIPROP,0.4,31-07-2026
Services,99.99,IGIL,1.15,31-07-2026
Services,99.99,INDIGO,19.4,31-07-2026
Services,99.99,INOXGREEN,0.88,31-07-2026
Services,99.99,JSWINFRA,5.95,31-07-2026
Services,99.99,MMTC,0.3,31-07-2026
Services,99.99,MSTCLTD,0.49,31-07-2026
Services,99.99,NESCO,0.71,31-07-2026
Services,99.99,QUESS,0.68,31-07-2026
Services,99.99,REDINGTON,6.1,31-07-2026
Services,99.99,SCI,1.57,31-07-2026
Services,99.99,SMARTWORKS,0.45,31-07-2026
Services,99.99,TVSSCS,0.54,31-07-2026
Services,99.99,WEWORK,1.16,31-07-2026
Construction,0.01,DUMMYINXGN,0.01,31-07-2026
