sector,sector_weight,symbol,weight,as_of_date
Power,23.88,ADANIENSOL,2.55,31-07-2026
Power,23.88,ADANIGREEN,2.18,31-07-2026
Power,23.88,ADANIPOWER,4.13,31-07-2026
Power,23.88,JSWENERGY,1.6,31-07-2026
Power,23.88,NHPC,1.4,31-07-2026
Power,23.88,NTPC,7.76,31-07-2026
Power,23.88,TATAPOWER,2.99,31-07-2026
Power,23.88,TORNTPOWER,1.27,31-07-2026
Construction Materials,15.06,AMBUJACEM,1.27,31-07-2026
Construction Materials,15.06,GRASIM,5.51,31-07-2026
Construction Materials,15.06,SHREECEM,1.64,31-07-2026
Construction Materials,15.06,ULTRACEMCO,6.64,31-07-2026
Capital Goods,1.56,APLAPOLLO,1.56,31-07-2026
Oil Gas & Consumable Fuels,27.63,BPCL,3.05,31-07-2026
Oil Gas & Consumable Fuels,27.63,COALINDIA,4.67,31-07-2026
Oil Gas & Consumable Fuels,27.63,HINDPETRO,1.76,31-07-2026
Oil Gas & Consumable Fuels,27.63,IOC,2.47,31-07-2026
Oil Gas & Consumable Fuels,27.63,OIL,1.18,31-07-2026
Oil Gas & Consumable Fuels,27.63,ONGC,4.44,31-07-2026
Oil Gas & Consumable Fuels,27.63,RELIANCE,10.05,31-07-2026
Metals & Mining,25.07,HINDALCO,6.65,31-07-2026
Metals & Mining,25.07,JINDALSTEL,1.92,31-07-2026
Metals & Mining,25.07,JSWSTEEL,5.61,31-07-2026
Metals & Mining,25.07,NMDC,1.39,31-07-2026
Metals & Mining,25.07,TATASTEEL,7.39,31-07-2026
Metals & Mining,25.07,VEDL,2.11,31-07-2026
Chemicals,6.8,PIDILITIND,2.35,31-07-2026
Chemicals,6.8,PIIND,1.05,31-07-2026
Chemicals,6.8,SRF,1.79,31-07-2026
Chemicals,6.8,UPL,1.6,31-07-2026
