sector,sector_weight,symbol,weight,as_of_date
Consumer Durables,100.0,AMBER,4.4,31-07-2026
Consumer Durables,100.0,BATAINDIA,1.2,31-07-2026
Consumer Durables,100.0,BLUESTARCO,5.9,31-07-2026
Consumer Durables,100.0,CROMPTON,4.52,31-07-2026
Consumer Durables,100.0,DIXON,15.76,31-07-2026
Consumer Durables,100.0,HAVELLS,8.59,31-07-2026
Consumer Durables,100.0,KAJARIACER,2.68,31-07-2026
Consumer Durables,100.0,KALYANKJIL,6.36,31-07-2026
Consumer Durables,100.0,LGEINDIA,4.11,31-07-2026
Consumer Durables,100.0,PGEL,2.68,31-07-2026
Consumer Durables,100.0,TITAN,33.96,31-07-2026
Consumer Durables,100.0,VOLTAS,8.19,31-07-2026
Consumer Durables,100.0,WHIRLPOOL,1.65,31-07-2026
