sector,sector_weight,symbol,weight,as_of_date
Construction,100.0,AFCONS,3.0,31-07-2026
Construction,100.0,AHLUCONT,1.74,31-07-2026
Construction,100.0,ASHOKA,1.1,31-07-2026
Construction,100.0,CEMPRO,5.39,31-07-2026
Construction,100.0,DBL,1.82,31-07-2026
Construction,100.0,ENGINERSIN,4.31,31-07-2026
Construction,100.0,HCC,3.32,31-07-2026
Construction,100.0,HGINFRA,0.7,31-07-2026
Construction,100.0,IRB,5.56,31-07-2026
Construction,100.0,IRCON,2.91,31-07-2026
Construction,100.0,KEC,4.31,31-07-2026
Construction,100.0,KNRCON,1.25,31-07-2026
Construction,100.0,KPIL,10.37,31-07-2026
Construction,100.0,LT,20.35,31-07-2026
Construction,100.0,NBCC,6.95,31-07-2026
Construction,100.0,NCC,4.04,31-07-2026
Construction,100.0,PNCINFRA,1.97,31-07-2026
Construction,100.0,POWERMECH,2.4,31-07-2026
Construction,100.0,RITES,2.03,31-07-2026
Construction,100.0,RVNL,9.06,31-07-2026
Construction,100.0,SWSOLAR,1.84,31-07-2026
Construction,100.0,TECHNOE,3.48,31-07-2026
Construction,100.0,WELENT,2.11,31-07-2026
