sector,sector_weight,symbol,weight,as_of_date
Consumer Services,100.0,ABFRL,0.45,31-07-2026
Consumer Services,100.0,ABLBL,0.7,31-07-2026
Consumer Services,100.0,ARVINDFASN,0.5,31-07-2026
Consumer Services,100.0,AVL,0.56,31-07-2026
Consumer Services,100.0,BLS,0.37,31-07-2026
Consumer Services,100.0,CARTRADE,1.48,31-07-2026
Consumer Services,100.0,CHALET,0.74,31-07-2026
Consumer Services,100.0,CRIZAC,0.09,31-07-2026
Consumer Services,100.0,DEVYANI,0.62,31-07-2026
Consumer Services,100.0,DMART,8.09,31-07-2026
Consumer Services,100.0,EIHOTEL,0.83,31-07-2026
Consumer Services,100.0,EMIL,0.22,31-07-2026
Consumer Services,100.0,ENTERO,0.26,31-07-2026
Consumer Services,100.0,ETERNAL,22.84,31-07-2026
Consumer Services,100.0,FIRSTCRY,0.61,31-07-2026
Consumer Services,100.0,INDHOTEL,8.31,31-07-2026
Consumer Services,100.0,INDIAMART,0.71,31-07-2026
Consumer Services,100.0,IRCTC,1.89,31-07-2026
Consumer Services,100.0,ITCHOTELS,2.33,31-07-2026
Consumer Services,100.0,IXIGO,0.55,31-07-2026
Consumer Services,100.0,JSLL,0.34,31-07-2026
Consumer Services,100.0,JUBLFOOD,2.2,31-07-2026
Consumer Services,100.0,JUSTDIAL,0.2,31-07-2026
Consumer Services,100.0,LEMONTREE,0.7,31-07-2026
Consumer Services,100.0,LENSKART,2.41,31-07-2026
Consumer Services,100.0,MANYAVAR,0.32,31-07-2026
Consumer Services,100.0,MEDPLUS,0.65,31-07-2026
Consumer Services,100.0,MEESHO,1.3,31-07-2026
Consumer Services,100.0,NAUKRI,6.01,31-07-2026
Consumer Services,100.0,NYKAA,5.84,31-07-2026
Consumer Services,100.0,PWL,0.87,31-07-2026
Consumer Services,100.0,RBA,0.44,31-07-2026
Consumer Services,100.0,RTNINDIA,0.14,31-07-2026
Consumer Services,100.0,SAMHI,0.41,31-07-2026
Consumer Services,100.0,SAPPHIRE,0.56,31-07-2026
Consumer Services,100.0,SWIGGY,5.18,31-07-2026
Consumer Services,100.0,TBOTEK,0.67,31-07-2026
Consumer Services,100.0,THELEELA,0.51,31-07-2026
Consumer Services,100.0,THOMASCOOK,0.22,31-07-2026
Consumer Services,100.0,TRAVELFOOD,0.3,31-07-2026
Consumer Services,100.0,TRENT,12.81,31-07-2026
Consumer Services,100.0,URBANCO,0.56,31-07-2026
Consumer Services,100.0,V2RETAIL,0.49,31-07-2026
Consumer Services,100.0,VMART,0.44,31-07-2026
Consumer Services,100.0,VMM,3.82,31-07-2026
Consumer Services,100.0,WESTLIFE,0.44,31-07-2026
