sector,sector_weight,symbol,weight,as_of_date
Power,4.34,ADANIPOWER,2.51,31-07-2026
Power,4.34,TATAPOWER,1.82,31-07-2026
Healthcare,4.99,APOLLOHOSP,2.64,31-07-2026
Healthcare,4.99,MAXHEALTH,2.34,31-07-2026
Consumer Durables,11.92,ASIANPAINT,3.56,31-07-2026
Consumer Durables,11.92,DIXON,1.67,31-07-2026
Consumer Durables,11.92,HAVELLS,0.91,31-07-2026
Consumer Durables,11.92,TITAN,5.77,31-07-2026
Automobile and Auto Components,25.69,BAJAJ-AUTO,3.66,31-07-2026
Automobile and Auto Components,25.69,EICHERMOT,3.1,31-07-2026
Automobile and Auto Components,25.69,HEROMOTOCO,2.01,31-07-2026
Automobile and Auto Components,25.69,M&M,8.7,31-07-2026
Automobile and Auto Components,25.69,MARUTI,5.33,31-07-2026
Automobile and Auto Components,25.69,TVSMOTOR,2.91,31-07-2026
Telecommunication,10.01,BHARTIARTL,10.01,31-07-2026
Fast Moving Consumer Goods,24.33,BRITANNIA,1.83,31-07-2026
Fast Moving Consumer Goods,24.33,GODREJCP,1.23,31-07-2026
Fast Moving Consumer Goods,24.33,HINDUNILVR,5.35,31-07-2026
Fast Moving Consumer Goods,24.33,ITC,7.77,31-07-2026
Fast Moving Consumer Goods,24.33,NESTLEIND,3.1,31-07-2026
Fast Moving Consumer Goods,24.33,TATACONSUM,2.02,31-07-2026
Fast Moving Consumer Goods,24.33,UNITDSPR,1.28,31-07-2026
Fast Moving Consumer Goods,24.33,VBL,1.73,31-07-2026
Realty,1.21,DLF,1.21,31-07-2026
Consumer Services,14.16,DMART,1.81,31-07-2026
Consumer Services,14.16,ETERNAL,6.27,31-07-2026
Consumer Services,14.16,INDHOTEL,1.86,31-07-2026
Consumer Services,14.16,NAUKRI,1.35,31-07-2026
Consumer Services,14.16,TRENT,2.87,31-07-2026
Services,3.36,INDIGO,3.36,31-07-2026
