sector,sector_weight,symbol,weight,as_of_date
Construction Materials,36.37,ACC,0.79,31-07-2026
Construction Materials,36.37,AMBUJACEM,2.6,31-07-2026
Construction Materials,36.37,DALBHARAT,1.38,31-07-2026
Construction Materials,36.37,GRASIM,11.3,31-07-2026
Construction Materials,36.37,JKCEMENT,2.2,31-07-2026
Construction Materials,36.37,RAMCOCEM,1.12,31-07-2026
Construction Materials,36.37,SHREECEM,3.37,31-07-2026
Construction Materials,36.37,ULTRACEMCO,13.61,31-07-2026
Consumer Durables,32.27,AMBER,1.57,31-07-2026
Consumer Durables,32.27,ASIANPAINT,12.0,31-07-2026
Consumer Durables,32.27,BERGEPAINT,1.43,31-07-2026
Consumer Durables,32.27,BLUESTARCO,2.11,31-07-2026
Consumer Durables,32.27,CROMPTON,1.61,31-07-2026
Consumer Durables,32.27,DIXON,5.63,31-07-2026
Consumer Durables,32.27,HAVELLS,3.07,31-07-2026
Consumer Durables,32.27,KAJARIACER,0.96,31-07-2026
Consumer Durables,32.27,PGEL,0.96,31-07-2026
Consumer Durables,32.27,VOLTAS,2.93,31-07-2026
Financial Services,4.35,BAJAJHFL,0.92,31-07-2026
Financial Services,4.35,LICHSGFIN,1.52,31-07-2026
Financial Services,4.35,PNBHOUSING,1.91,31-07-2026
Realty,19.33,BRIGADE,1.04,31-07-2026
Realty,19.33,DLF,4.09,31-07-2026
Realty,19.33,GODREJPROP,2.75,31-07-2026
Realty,19.33,LODHA,3.33,31-07-2026
Realty,19.33,OBEROIRLTY,2.08,31-07-2026
Realty,19.33,PHOENIXLTD,3.41,31-07-2026
Realty,19.33,PRESTIGE,2.63,31-07-2026
Capital Goods,7.68,KEI,2.98,31-07-2026
Capital Goods,7.68,POLYCAB,4.7,31-07-2026
