sector,sector_weight,symbol,weight,as_of_date
Capital Goods,21.14,BEL,19.38,31-07-2026
Capital Goods,21.14,COCHINSHIP,1.76,31-07-2026
Oil Gas & Consumable Fuels,31.9,COALINDIA,14.49,31-07-2026
Oil Gas & Consumable Fuels,31.9,OIL,3.65,31-07-2026
Oil Gas & Consumable Fuels,31.9,ONGC,13.76,31-07-2026
Construction,1.43,NBCC,1.43,31-07-2026
Power,45.53,NHPC,4.33,31-07-2026
Power,45.53,NLCINDIA,1.58,31-07-2026
Power,45.53,NTPC,20.09,31-07-2026
Power,45.53,POWERGRID,18.8,31-07-2026
Power,45.53,SJVN,0.72,31-07-2026
