sector,sector_weight,symbol,weight,as_of_date
Financial Services,24.79,ANGELONE,0.48,31-07-2026
Financial Services,24.79,BANKBARODA,1.13,31-07-2026
Financial Services,24.79,BANKINDIA,0.42,31-07-2026
Financial Services,24.79,CANBK,1.05,31-07-2026
Financial Services,24.79,HDFCAMC,1.33,31-07-2026
Financial Services,24.79,HUDCO,0.25,31-07-2026
Financial Services,24.79,INDIANB,0.74,31-07-2026
Financial Services,24.79,IRFC,0.45,31-07-2026
Financial Services,24.79,M&MFIN,0.64,31-07-2026
Financial Services,24.79,MAHABANK,0.4,31-07-2026
Financial Services,24.79,PFC,1.55,31-07-2026
Financial Services,24.79,PNB,0.97,31-07-2026
Financial Services,24.79,RECLTD,1.17,31-07-2026
Financial Services,24.79,SBIN,9.72,31-07-2026
Financial Services,24.79,SHRIRAMFIN,3.67,31-07-2026
Financial Services,24.79,UNIONBANK,0.83,31-07-2026
Capital Goods,3.06,ASHOKLEY,1.19,31-07-2026
Capital Goods,3.06,CUMMINSIND,1.87,31-07-2026
Automobile and Auto Components,4.94,BAJAJ-AUTO,3.19,31-07-2026
Automobile and Auto Components,4.94,HEROMOTOCO,1.75,31-07-2026
Oil Gas & Consumable Fuels,10.56,BPCL,1.62,31-07-2026
Oil Gas & Consumable Fuels,10.56,COALINDIA,2.48,31-07-2026
Oil Gas & Consumable Fuels,10.56,GAIL,1.22,31-07-2026
Oil Gas & Consumable Fuels,10.56,HINDPETRO,0.94,31-07-2026
Oil Gas & Consumable Fuels,10.56,IOC,1.31,31-07-2026
Oil Gas & Consumable Fuels,10.56,OIL,0.63,31-07-2026
Oil Gas & Consumable Fuels,10.56,ONGC,2.36,31-07-2026
Fast Moving Consumer Goods,14.8,BRITANNIA,1.6,31-07-2026
Fast Moving Consumer Goods,14.8,COLPAL,0.68,31-07-2026
Fast Moving Consumer Goods,14.8,GODREJCP,1.08,31-07-2026
Fast Moving Consumer Goods,14.8,HINDUNILVR,4.67,31-07-2026
Fast Moving Consumer Goods,14.8,ITC,6.78,31-07-2026
Information Technology,24.83,HCLTECH,3.55,31-07-2026
Information Technology,24.83,INFY,9.92,31-07-2026
Information Technology,24.83,MPHASIS,0.78,31-07-2026
Information Technology,24.83,OFSS,0.67,31-07-2026
Information Technology,24.83,TCS,6.04,31-07-2026
Information Technology,24.83,TECHM,2.62,31-07-2026
Information Technology,24.83,WIPRO,1.24,31-07-2026
Metals & Mining,7.83,HINDZINC,0.65,31-07-2026
Metals & Mining,7.83,NATIONALUM,0.79,31-07-2026
Metals & Mining,7.83,NMDC,0.74,31-07-2026
Metals & Mining,7.83,SAIL,0.61,31-07-2026
Metals & Mining,7.83,TATASTEEL,3.92,31-07-2026
Metals & Mining,7.83,VEDL,1.12,31-07-2026
Power,8.08,NHPC,0.74,31-07-2026
Power,8.08,NTPC,4.12,31-07-2026
Power,8.08,POWERGRID,3.22,31-07-2026
Textiles,0.64,PAGEIND,0.64,31-07-2026
Services,0.48,REDINGTON,0.48,31-07-2026
