sector,sector_weight,symbol,weight,as_of_date
Capital Goods,23.93,ABB,2.31,31-07-2026
Capital Goods,23.93,BHEL,3.59,31-07-2026
Capital Goods,23.93,CGPOWER,3.58,31-07-2026
Capital Goods,23.93,ENRIN,1.73,31-07-2026
Capital Goods,23.93,GVT&D,3.24,31-07-2026
Capital Goods,23.93,INOXWIND,0.46,31-07-2026
Capital Goods,23.93,POWERINDIA,2.47,31-07-2026
Capital Goods,23.93,SIEMENS,2.01,31-07-2026
Capital Goods,23.93,SUZLON,3.53,31-07-2026
Capital Goods,23.93,THERMAX,1.01,31-07-2026
Power,24.96,ADANIENSOL,1.95,31-07-2026
Power,24.96,ADANIGREEN,1.67,31-07-2026
Power,24.96,ADANIPOWER,3.16,31-07-2026
Power,24.96,CESC,0.38,31-07-2026
Power,24.96,JPPOWER,0.32,31-07-2026
Power,24.96,JSWENERGY,1.22,31-07-2026
Power,24.96,NAVA,0.28,31-07-2026
Power,24.96,NHPC,1.07,31-07-2026
Power,24.96,NLCINDIA,0.39,31-07-2026
Power,24.96,NTPC,5.93,31-07-2026
Power,24.96,NTPCGREEN,0.3,31-07-2026
Power,24.96,POWERGRID,4.63,31-07-2026
Power,24.96,RPOWER,0.24,31-07-2026
Power,24.96,SJVN,0.18,31-07-2026
Power,24.96,TATAPOWER,2.29,31-07-2026
Power,24.96,TORNTPOWER,0.97,31-07-2026
Oil Gas & Consumable Fuels,51.11,AEGISLOG,1.71,31-07-2026
Oil Gas & Consumable Fuels,51.11,ATGL,1.92,31-07-2026
Oil Gas & Consumable Fuels,51.11,BPCL,2.24,31-07-2026
Oil Gas & Consumable Fuels,51.11,CASTROLIND,0.31,31-07-2026
Oil Gas & Consumable Fuels,51.11,COALINDIA,9.66,31-07-2026
Oil Gas & Consumable Fuels,51.11,GAIL,5.2,31-07-2026
Oil Gas & Consumable Fuels,51.11,HINDPETRO,1.29,31-07-2026
Oil Gas & Consumable Fuels,51.11,IGL,1.13,31-07-2026
Oil Gas & Consumable Fuels,51.11,IOC,1.81,31-07-2026
Oil Gas & Consumable Fuels,51.11,MGL,0.68,31-07-2026
Oil Gas & Consumable Fuels,51.11,OIL,2.66,31-07-2026
Oil Gas & Consumable Fuels,51.11,ONGC,10.01,31-07-2026
Oil Gas & Consumable Fuels,51.11,PETRONET,2.24,31-07-2026
Oil Gas & Consumable Fuels,51.11,RELIANCE,10.26,31-07-2026
