sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,360ONE,1.64,31-07-2026
Financial Services,100.0,ABCAPITAL,1.86,31-07-2026
Financial Services,100.0,ANGELONE,1.08,31-07-2026
Financial Services,100.0,BAJAJFINSV,6.55,31-07-2026
Financial Services,100.0,BAJAJHLDNG,2.74,31-07-2026
Financial Services,100.0,BAJFINANCE,17.04,31-07-2026
Financial Services,100.0,BSE,8.3,31-07-2026
Financial Services,100.0,CAMS,1.07,31-07-2026
Financial Services,100.0,CDSL,1.32,31-07-2026
Financial Services,100.0,CHOLAFIN,4.46,31-07-2026
Financial Services,100.0,HDFCAMC,2.97,31-07-2026
Financial Services,100.0,HDFCLIFE,3.29,31-07-2026
Financial Services,100.0,ICICIGI,2.2,31-07-2026
Financial Services,100.0,ICICIPRULI,1.14,31-07-2026
Financial Services,100.0,IRFC,1.0,31-07-2026
Financial Services,100.0,JIOFIN,4.69,31-07-2026
Financial Services,100.0,LICHSGFIN,0.88,31-07-2026
Financial Services,100.0,LICI,1.05,31-07-2026
Financial Services,100.0,LTF,1.48,31-07-2026
Financial Services,100.0,MCX,3.83,31-07-2026
Financial Services,100.0,MFSL,2.22,31-07-2026
Financial Services,100.0,MUTHOOTFIN,1.86,31-07-2026
Financial Services,100.0,PAYTM,3.15,31-07-2026
Financial Services,100.0,PFC,3.44,31-07-2026
Financial Services,100.0,PNBHOUSING,1.1,31-07-2026
Financial Services,100.0,POLICYBZR,3.09,31-07-2026
Financial Services,100.0,RECLTD,2.6,31-07-2026
Financial Services,100.0,SBICARD,1.09,31-07-2026
Financial Services,100.0,SBILIFE,4.71,31-07-2026
Financial Services,100.0,SHRIRAMFIN,8.17,31-07-2026
