sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,AXISBANK,3.99,31-07-2026
Financial Services,100.0,BAJAJFINSV,5.12,31-07-2026
Financial Services,100.0,BAJFINANCE,5.17,31-07-2026
Financial Services,100.0,BSE,4.21,31-07-2026
Financial Services,100.0,CHOLAFIN,3.96,31-07-2026
Financial Services,100.0,HDFCBANK,17.34,31-07-2026
Financial Services,100.0,HDFCLIFE,2.92,31-07-2026
Financial Services,100.0,ICICIBANK,19.21,31-07-2026
Financial Services,100.0,ICICIGI,1.95,31-07-2026
Financial Services,100.0,JIOFIN,4.17,31-07-2026
Financial Services,100.0,KOTAKBANK,4.32,31-07-2026
Financial Services,100.0,LICHSGFIN,0.78,31-07-2026
Financial Services,100.0,MFSL,1.97,31-07-2026
Financial Services,100.0,MUTHOOTFIN,1.66,31-07-2026
Financial Services,100.0,PFC,3.06,31-07-2026
Financial Services,100.0,RECLTD,2.31,31-07-2026
Financial Services,100.0,SBICARD,0.97,31-07-2026
Financial Services,100.0,SBILIFE,4.19,31-07-2026
Financial Services,100.0,SBIN,8.09,31-07-2026
Financial Services,100.0,SHRIRAMFIN,4.61,31-07-2026
