sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,AXISBANK,8.89,31-07-2026
Financial Services,100.0,BAJAJFINSV,3.62,31-07-2026
Financial Services,100.0,BAJFINANCE,9.43,31-07-2026
Financial Services,100.0,BSE,4.59,31-07-2026
Financial Services,100.0,CHOLAFIN,2.44,31-07-2026
Financial Services,100.0,HDFCBANK,18.01,31-07-2026
Financial Services,100.0,HDFCLIFE,1.82,31-07-2026
Financial Services,100.0,ICICIBANK,14.7,31-07-2026
Financial Services,100.0,ICICIGI,1.22,31-07-2026
Financial Services,100.0,JIOFIN,2.59,31-07-2026
Financial Services,100.0,KOTAKBANK,8.86,31-07-2026
Financial Services,100.0,LICHSGFIN,0.5,31-07-2026
Financial Services,100.0,MFSL,1.2,31-07-2026
Financial Services,100.0,MUTHOOTFIN,1.06,31-07-2026
Financial Services,100.0,PFC,1.87,31-07-2026
Financial Services,100.0,RECLTD,1.45,31-07-2026
Financial Services,100.0,SBICARD,0.62,31-07-2026
Financial Services,100.0,SBILIFE,2.61,31-07-2026
Financial Services,100.0,SBIN,9.98,31-07-2026
Financial Services,100.0,SHRIRAMFIN,4.52,31-07-2026
