sector,sector_weight,symbol,weight,as_of_date
Fast Moving Consumer Goods,100.0,BRITANNIA,6.31,31-07-2026
Fast Moving Consumer Goods,100.0,COLPAL,2.71,31-07-2026
Fast Moving Consumer Goods,100.0,DABUR,2.46,31-07-2026
Fast Moving Consumer Goods,100.0,EMAMILTD,0.78,31-07-2026
Fast Moving Consumer Goods,100.0,GODREJCP,4.26,31-07-2026
Fast Moving Consumer Goods,100.0,HINDUNILVR,18.44,31-07-2026
Fast Moving Consumer Goods,100.0,ITC,26.8,31-07-2026
Fast Moving Consumer Goods,100.0,MARICO,4.56,31-07-2026
Fast Moving Consumer Goods,100.0,NESTLEIND,10.71,31-07-2026
Fast Moving Consumer Goods,100.0,PATANJALI,1.22,31-07-2026
Fast Moving Consumer Goods,100.0,RADICO,3.36,31-07-2026
Fast Moving Consumer Goods,100.0,TATACONSUM,6.98,31-07-2026
Fast Moving Consumer Goods,100.0,UBL,1.01,31-07-2026
Fast Moving Consumer Goods,100.0,UNITDSPR,4.43,31-07-2026
Fast Moving Consumer Goods,100.0,VBL,5.98,31-07-2026
