sector,sector_weight,symbol,weight,as_of_date
Healthcare,19.92,APOLLOHOSP,3.76,31-07-2026
Healthcare,19.92,CIPLA,3.38,31-07-2026
Healthcare,19.92,DIVISLAB,4.18,31-07-2026
Healthcare,19.92,SUNPHARMA,8.6,31-07-2026
Automobile and Auto Components,28.5,EICHERMOT,4.4,31-07-2026
Automobile and Auto Components,28.5,M&M,12.38,31-07-2026
Automobile and Auto Components,28.5,MARUTI,7.58,31-07-2026
Automobile and Auto Components,28.5,TVSMOTOR,4.13,31-07-2026
Fast Moving Consumer Goods,12.02,HINDUNILVR,7.61,31-07-2026
Fast Moving Consumer Goods,12.02,NESTLEIND,4.42,31-07-2026
Information Technology,31.35,INFY,14.75,31-07-2026
Information Technology,31.35,PERSISTENT,2.46,31-07-2026
Information Technology,31.35,TCS,9.85,31-07-2026
Information Technology,31.35,TECHM,4.28,31-07-2026
Consumer Durables,8.21,TITAN,8.21,31-07-2026
