sector,sector_weight,symbol,weight,as_of_date
Healthcare,100.0,ABBOTINDIA,1.26,31-07-2026
Healthcare,100.0,ALKEM,2.93,31-07-2026
Healthcare,100.0,APOLLOHOSP,8.02,31-07-2026
Healthcare,100.0,AUROPHARMA,3.81,31-07-2026
Healthcare,100.0,BIOCON,2.64,31-07-2026
Healthcare,100.0,CIPLA,7.21,31-07-2026
Healthcare,100.0,DIVISLAB,8.91,31-07-2026
Healthcare,100.0,DRREDDY,6.09,31-07-2026
Healthcare,100.0,FORTIS,4.28,31-07-2026
Healthcare,100.0,GLENMARK,2.93,31-07-2026
Healthcare,100.0,IPCALAB,2.11,31-07-2026
Healthcare,100.0,LAURUSLABS,6.15,31-07-2026
Healthcare,100.0,LUPIN,5.1,31-07-2026
Healthcare,100.0,MANKIND,2.43,31-07-2026
Healthcare,100.0,MAXHEALTH,7.11,31-07-2026
Healthcare,100.0,PPLPHARMA,1.06,31-07-2026
Healthcare,100.0,SUNPHARMA,18.34,31-07-2026
Healthcare,100.0,SYNGENE,0.64,31-07-2026
Healthcare,100.0,TORNTPHARM,6.54,31-07-2026
Healthcare,100.0,ZYDUSLIFE,2.45,31-07-2026
