sector,sector_weight,symbol,weight,as_of_date
Financial Services,48.89,ABCAPITAL,2.0,31-07-2026
Financial Services,48.89,ANGELONE,1.94,31-07-2026
Financial Services,48.89,BANDHANBNK,1.53,31-07-2026
Financial Services,48.89,BANKINDIA,1.84,31-07-2026
Financial Services,48.89,BSE,1.94,31-07-2026
Financial Services,48.89,CDSL,2.18,31-07-2026
Financial Services,48.89,CHOLAFIN,2.04,31-07-2026
Financial Services,48.89,HDFCAMC,1.87,31-07-2026
Financial Services,48.89,HUDCO,1.63,31-07-2026
Financial Services,48.89,IIFL,2.29,31-07-2026
Financial Services,48.89,IREDA,1.62,31-07-2026
Financial Services,48.89,IRFC,1.7,31-07-2026
Financial Services,48.89,JIOFIN,2.02,31-07-2026
Financial Services,48.89,LTF,2.09,31-07-2026
Financial Services,48.89,M&MFIN,2.31,31-07-2026
Financial Services,48.89,MCX,1.7,31-07-2026
Financial Services,48.89,MOTILALOFS,1.95,31-07-2026
Financial Services,48.89,NAM-INDIA,2.15,31-07-2026
Financial Services,48.89,PAYTM,2.33,31-07-2026
Financial Services,48.89,PFC,1.47,31-07-2026
Financial Services,48.89,PNBHOUSING,1.91,31-07-2026
Financial Services,48.89,RECLTD,1.68,31-07-2026
Financial Services,48.89,SHRIRAMFIN,2.4,31-07-2026
Financial Services,48.89,UJJIVANSFB,2.43,31-07-2026
Financial Services,48.89,UNIONBANK,1.85,31-07-2026
Power,4.28,ADANIENSOL,2.24,31-07-2026
Power,4.28,ADANIGREEN,2.04,31-07-2026
Metals & Mining,5.77,ADANIENT,2.08,31-07-2026
Metals & Mining,5.77,HINDCOPPER,2.17,31-07-2026
Metals & Mining,5.77,TATASTEEL,1.53,31-07-2026
Services,3.89,ADANIPORTS,1.77,31-07-2026
Services,3.89,INDIGO,2.12,31-07-2026
Consumer Durables,6.82,AMBER,1.62,31-07-2026
Consumer Durables,6.82,DIXON,2.15,31-07-2026
Consumer Durables,6.82,KALYANKJIL,3.05,31-07-2026
Capital Goods,9.23,APARINDS,1.45,31-07-2026
Capital Goods,9.23,ASHOKLEY,2.29,31-07-2026
Capital Goods,9.23,BHEL,1.65,31-07-2026
Capital Goods,9.23,KAYNES,2.1,31-07-2026
Capital Goods,9.23,MAZDOCK,1.73,31-07-2026
Realty,9.69,DLF,2.15,31-07-2026
Realty,9.69,GODREJPROP,2.69,31-07-2026
Realty,9.69,LODHA,2.9,31-07-2026
Realty,9.69,PRESTIGE,1.96,31-07-2026
Oil Gas & Consumable Fuels,1.86,HINDPETRO,1.86,31-07-2026
Telecommunication,1.75,IDEA,1.75,31-07-2026
Automobile and Auto Components,4.23,M&M,2.05,31-07-2026
Automobile and Auto Components,4.23,MOTHERSON,2.18,31-07-2026
Construction,3.59,NBCC,1.86,31-07-2026
Construction,3.59,RVNL,1.73,31-07-2026
