sector,sector_weight,symbol,weight,as_of_date
Healthcare,100.0,AGARWALEYE,1.62,31-07-2026
Healthcare,100.0,APOLLOHOSP,20.38,31-07-2026
Healthcare,100.0,ASTERDM,9.07,31-07-2026
Healthcare,100.0,FORTIS,18.9,31-07-2026
Healthcare,100.0,HCG,1.56,31-07-2026
Healthcare,100.0,JLHL,2.7,31-07-2026
Healthcare,100.0,KIMS,9.09,31-07-2026
Healthcare,100.0,MAXHEALTH,19.81,31-07-2026
Healthcare,100.0,MEDANTA,5.24,31-07-2026
Healthcare,100.0,NH,6.11,31-07-2026
Healthcare,100.0,PARKHOSPS,0.71,31-07-2026
Healthcare,100.0,RAINBOW,3.31,31-07-2026
Healthcare,100.0,YATHARTH,1.52,31-07-2026
