sector,sector_weight,symbol,weight,as_of_date
Power,18.57,ADANIENSOL,1.98,31-07-2026
Power,18.57,ADANIGREEN,1.7,31-07-2026
Power,18.57,ADANIPOWER,3.21,31-07-2026
Power,18.57,JSWENERGY,1.25,31-07-2026
Power,18.57,NHPC,1.09,31-07-2026
Power,18.57,NTPC,6.03,31-07-2026
Power,18.57,TATAPOWER,2.33,31-07-2026
Power,18.57,TORNTPOWER,0.98,31-07-2026
Construction Materials,12.55,AMBUJACEM,0.99,31-07-2026
Construction Materials,12.55,GRASIM,4.29,31-07-2026
Construction Materials,12.55,JKCEMENT,0.83,31-07-2026
Construction Materials,12.55,SHREECEM,1.28,31-07-2026
Construction Materials,12.55,ULTRACEMCO,5.16,31-07-2026
Consumer Durables,10.37,ASIANPAINT,4.55,31-07-2026
Consumer Durables,10.37,BLUESTARCO,0.8,31-07-2026
Consumer Durables,10.37,CROMPTON,0.61,31-07-2026
Consumer Durables,10.37,DIXON,2.14,31-07-2026
Consumer Durables,10.37,HAVELLS,1.16,31-07-2026
Consumer Durables,10.37,VOLTAS,1.11,31-07-2026
Financial Services,24.6,AXISBANK,2.35,31-07-2026
Financial Services,24.6,BANKBARODA,0.3,31-07-2026
Financial Services,24.6,CANBK,0.28,31-07-2026
Financial Services,24.6,FEDERALBNK,0.59,31-07-2026
Financial Services,24.6,HDFCBANK,7.63,31-07-2026
Financial Services,24.6,ICICIBANK,6.85,31-07-2026
Financial Services,24.6,IDFCFIRSTB,0.37,31-07-2026
Financial Services,24.6,INDIANB,0.2,31-07-2026
Financial Services,24.6,INDUSINDBK,0.44,31-07-2026
Financial Services,24.6,KOTAKBANK,1.91,31-07-2026
Financial Services,24.6,LICHSGFIN,0.1,31-07-2026
Financial Services,24.6,PNB,0.26,31-07-2026
Financial Services,24.6,SBIN,2.83,31-07-2026
Financial Services,24.6,UNIONBANK,0.22,31-07-2026
Financial Services,24.6,YESBANK,0.27,31-07-2026
Realty,6.94,DLF,1.55,31-07-2026
Realty,6.94,GODREJPROP,1.04,31-07-2026
Realty,6.94,LODHA,1.26,31-07-2026
Realty,6.94,OBEROIRLTY,0.79,31-07-2026
Realty,6.94,PHOENIXLTD,1.3,31-07-2026
Realty,6.94,PRESTIGE,1.0,31-07-2026
Metals & Mining,13.34,JINDALSTEL,1.5,31-07-2026
Metals & Mining,13.34,JSL,0.84,31-07-2026
Metals & Mining,13.34,JSWSTEEL,4.36,31-07-2026
Metals & Mining,13.34,SAIL,0.9,31-07-2026
Metals & Mining,13.34,TATASTEEL,5.75,31-07-2026
Capital Goods,2.91,KEI,1.13,31-07-2026
Capital Goods,2.91,POLYCAB,1.78,31-07-2026
Construction,9.94,LT,9.47,31-07-2026
Construction,9.94,RVNL,0.47,31-07-2026
Oil Gas & Consumable Fuels,0.77,PETRONET,0.77,31-07-2026
