sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,AADHARHFC,5.39,31-07-2026
Financial Services,100.0,AAVAS,5.47,31-07-2026
Financial Services,100.0,APTUS,9.33,31-07-2026
Financial Services,100.0,BAJAJHFL,9.61,31-07-2026
Financial Services,100.0,CANFINHOME,6.97,31-07-2026
Financial Services,100.0,HOMEFIRST,11.57,31-07-2026
Financial Services,100.0,INDIASHLTR,3.26,31-07-2026
Financial Services,100.0,LICHSGFIN,15.86,31-07-2026
Financial Services,100.0,PNBHOUSING,19.96,31-07-2026
Financial Services,100.0,SAMMAANCAP,12.58,31-07-2026
