sector,sector_weight,symbol,weight,as_of_date
Financial Services,12.67,ABCAPITAL,9.54,31-07-2026
Financial Services,12.67,ABSLAMC,2.63,31-07-2026
Financial Services,12.67,BIRLAMONEY,0.07,31-07-2026
Financial Services,12.67,PILANIINVS,0.43,31-07-2026
Consumer Services,1.7,ABFRL,0.66,31-07-2026
Consumer Services,1.7,ABLBL,1.04,31-07-2026
Realty,1.43,ABREL,1.43,31-07-2026
Textiles,0.12,CENTENKA,0.12,31-07-2026
Construction Materials,51.68,GRASIM,18.99,31-07-2026
Construction Materials,51.68,INDIACEM,1.11,31-07-2026
Construction Materials,51.68,ULTRACEMCO,31.57,31-07-2026
Metals & Mining,19.71,HINDALCO,19.71,31-07-2026
Telecommunication,12.69,IDEA,12.69,31-07-2026
