sector,sector_weight,symbol,weight,as_of_date
Automobile and Auto Components,4.69,ASAL,0.03,31-07-2026
Automobile and Auto Components,4.69,TMPV,4.66,31-07-2026
Consumer Services,9.97,INDHOTEL,3.91,31-07-2026
Consumer Services,9.97,ORIENTHOT,0.09,31-07-2026
Consumer Services,9.97,TRENT,5.97,31-07-2026
Information Technology,33.93,NELCO,0.09,31-07-2026
Information Technology,33.93,TATAELXSI,0.85,31-07-2026
Information Technology,33.93,TATATECH,1.13,31-07-2026
Information Technology,33.93,TCS,31.86,31-07-2026
Chemicals,0.8,RALLIS,0.16,31-07-2026
Chemicals,0.8,TATACHEM,0.64,31-07-2026
Financial Services,7.05,TATACAP,5.77,31-07-2026
Financial Services,7.05,TATAINVEST,1.28,31-07-2026
Telecommunication,2.49,TATACOMM,1.86,31-07-2026
Telecommunication,2.49,TEJASNET,0.34,31-07-2026
Telecommunication,2.49,TTML,0.29,31-07-2026
Fast Moving Consumer Goods,3.99,TATACONSUM,3.99,31-07-2026
Power,4.53,TATAPOWER,4.53,31-07-2026
Metals & Mining,8.81,TATASTEEL,8.81,31-07-2026
Consumer Durables,17.75,TITAN,16.11,31-07-2026
Consumer Durables,17.75,VOLTAS,1.64,31-07-2026
Capital Goods,6.0,TMCV,5.99,31-07-2026
Capital Goods,6.0,TRF,0.01,31-07-2026
