sector,sector_weight,symbol,weight,as_of_date
Capital Goods,88.98,AEQUS,5.15,31-07-2026
Capital Goods,88.98,APOLLO,5.16,31-07-2026
Capital Goods,88.98,ASTRAMICRO,5.8,31-07-2026
Capital Goods,88.98,AXISCADES,4.92,31-07-2026
Capital Goods,88.98,BDL,5.05,31-07-2026
Capital Goods,88.98,BEL,5.07,31-07-2026
Capital Goods,88.98,BEML,5.51,31-07-2026
Capital Goods,88.98,COCHINSHIP,5.37,31-07-2026
Capital Goods,88.98,DATAPATTNS,5.15,31-07-2026
Capital Goods,88.98,DYNAMATECH,5.6,31-07-2026
Capital Goods,88.98,GRSE,5.23,31-07-2026
Capital Goods,88.98,HAL,5.76,31-07-2026
Capital Goods,88.98,MAZDOCK,5.24,31-07-2026
Capital Goods,88.98,MIDHANI,5.14,31-07-2026
Capital Goods,88.98,MTARTECH,4.07,31-07-2026
Capital Goods,88.98,PARAS,5.72,31-07-2026
Capital Goods,88.98,ZENTEC,5.02,31-07-2026
Automobile and Auto Components,5.46,BHARATFORG,5.46,31-07-2026
Chemicals,5.56,SOLARINDS,5.56,31-07-2026
