sector,sector_weight,symbol,weight,as_of_date
Capital Goods,30.0,ABB,1.17,31-07-2026
Capital Goods,30.0,ACE,0.13,31-07-2026
Capital Goods,30.0,ASHOKLEY,1.46,31-07-2026
Capital Goods,30.0,BDL,0.35,31-07-2026
Capital Goods,30.0,BEL,4.26,31-07-2026
Capital Goods,30.0,BEML,0.21,31-07-2026
Capital Goods,30.0,BHEL,1.82,31-07-2026
Capital Goods,30.0,CGPOWER,1.81,31-07-2026
Capital Goods,30.0,COCHINSHIP,0.37,31-07-2026
Capital Goods,30.0,CUMMINSIND,2.28,31-07-2026
Capital Goods,30.0,DATAPATTNS,0.4,31-07-2026
Capital Goods,30.0,ELECON,0.11,31-07-2026
Capital Goods,30.0,ELGIEQUIP,0.37,31-07-2026
Capital Goods,30.0,ENRIN,0.88,31-07-2026
Capital Goods,30.0,GRSE,0.23,31-07-2026
Capital Goods,30.0,GVT&D,1.64,31-07-2026
Capital Goods,30.0,HAL,2.7,31-07-2026
Capital Goods,30.0,INOXWIND,0.23,31-07-2026
Capital Goods,30.0,JWL,0.11,31-07-2026
Capital Goods,30.0,KIRLOSENG,0.56,31-07-2026
Capital Goods,30.0,MAZDOCK,0.55,31-07-2026
Capital Goods,30.0,POWERINDIA,1.25,31-07-2026
Capital Goods,30.0,SCHNEIDER,0.24,31-07-2026
Capital Goods,30.0,SIEMENS,1.02,31-07-2026
Capital Goods,30.0,SUZLON,1.79,31-07-2026
Capital Goods,30.0,TARIL,0.1,31-07-2026
Capital Goods,30.0,THERMAX,0.51,31-07-2026
Capital Goods,30.0,TITAGARH,0.2,31-07-2026
Capital Goods,30.0,TMCV,2.8,31-07-2026
Capital Goods,30.0,TRITURBINE,0.22,31-07-2026
Capital Goods,30.0,ZENTEC,0.23,31-07-2026
Realty,6.94,ABREL,0.23,31-07-2026
Realty,6.94,ANANTRAJ,0.29,31-07-2026
Realty,6.94,BRIGADE,0.33,31-07-2026
Realty,6.94,DLF,1.3,31-07-2026
Realty,6.94,GODREJPROP,0.87,31-07-2026
Realty,6.94,LODHA,1.06,31-07-2026
Realty,6.94,OBEROIRLTY,0.66,31-07-2026
Realty,6.94,PHOENIXLTD,1.08,31-07-2026
Realty,6.94,PRESTIGE,0.84,31-07-2026
Realty,6.94,SIGNATURE,0.1,31-07-2026
Realty,6.94,SOBHA,0.19,31-07-2026
Construction Materials,11.53,ACC,0.25,31-07-2026
Construction Materials,11.53,AMBUJACEM,0.83,31-07-2026
Construction Materials,11.53,DALBHARAT,0.44,31-07-2026
Construction Materials,11.53,GRASIM,3.58,31-07-2026
Construction Materials,11.53,JKCEMENT,0.7,31-07-2026
Construction Materials,11.53,RAMCOCEM,0.36,31-07-2026
Construction Materials,11.53,SHREECEM,1.07,31-07-2026
Construction Materials,11.53,ULTRACEMCO,4.32,31-07-2026
Power,19.7,ADANIENSOL,1.51,31-07-2026
Power,19.7,ADANIGREEN,1.29,31-07-2026
Power,19.7,ADANIPOWER,2.45,31-07-2026
Power,19.7,CESC,0.29,31-07-2026
Power,19.7,JPPOWER,0.25,31-07-2026
Power,19.7,JSWENERGY,0.95,31-07-2026
Power,19.7,NAVA,0.21,31-07-2026
Power,19.7,NHPC,0.83,31-07-2026
Power,19.7,NLCINDIA,0.3,31-07-2026
Power,19.7,NTPC,4.94,31-07-2026
Power,19.7,NTPCGREEN,0.23,31-07-2026
Power,19.7,POWERGRID,3.59,31-07-2026
Power,19.7,RPOWER,0.19,31-07-2026
Power,19.7,SJVN,0.14,31-07-2026
Power,19.7,TATAPOWER,1.77,31-07-2026
Power,19.7,TORNTPOWER,0.75,31-07-2026
Services,11.18,ADANIPORTS,3.83,31-07-2026
Services,11.18,BLUEDART,0.09,31-07-2026
Services,11.18,CONCOR,0.56,31-07-2026
Services,11.18,DELHIVERY,0.83,31-07-2026
Services,11.18,GESHIP,0.41,31-07-2026
Services,11.18,GMRAIRPORT,1.15,31-07-2026
Services,11.18,INDIGO,3.59,31-07-2026
Services,11.18,JSWINFRA,0.57,31-07-2026
Services,11.18,SCI,0.15,31-07-2026
Oil Gas & Consumable Fuels,3.71,AEGISLOG,0.49,31-07-2026
Oil Gas & Consumable Fuels,3.71,ATGL,0.55,31-07-2026
Oil Gas & Consumable Fuels,3.71,GAIL,1.5,31-07-2026
Oil Gas & Consumable Fuels,3.71,IGL,0.33,31-07-2026
Oil Gas & Consumable Fuels,3.71,MGL,0.2,31-07-2026
Oil Gas & Consumable Fuels,3.71,PETRONET,0.64,31-07-2026
Construction,7.21,AFCONS,0.13,31-07-2026
Construction,7.21,ENGINERSIN,0.19,31-07-2026
Construction,7.21,IRB,0.24,31-07-2026
Construction,7.21,IRCON,0.13,31-07-2026
Construction,7.21,KEC,0.19,31-07-2026
Construction,7.21,KPIL,0.45,31-07-2026
Construction,7.21,LT,4.79,31-07-2026
Construction,7.21,NBCC,0.3,31-07-2026
Construction,7.21,NCC,0.17,31-07-2026
Construction,7.21,RITES,0.09,31-07-2026
Construction,7.21,RVNL,0.39,31-07-2026
Construction,7.21,TECHNOE,0.15,31-07-2026
Telecommunication,9.72,BHARTIARTL,5.34,31-07-2026
Telecommunication,9.72,BHARTIHEXA,0.37,31-07-2026
Telecommunication,9.72,HFCL,0.61,31-07-2026
Telecommunication,9.72,IDEA,1.1,31-07-2026
Telecommunication,9.72,INDUSTOWER,1.54,31-07-2026
Telecommunication,9.72,TATACOMM,0.63,31-07-2026
Telecommunication,9.72,TEJASNET,0.13,31-07-2026
