sector,sector_weight,symbol,weight,as_of_date
Financial Services,34.81,ANGELONE,3.95,31-07-2026
Financial Services,34.81,CCAVENUE,0.66,31-07-2026
Financial Services,34.81,GROWW,3.05,31-07-2026
Financial Services,34.81,IIFLCAPS,0.81,31-07-2026
Financial Services,34.81,MOTILALOFS,2.72,31-07-2026
Financial Services,34.81,PAYTM,11.52,31-07-2026
Financial Services,34.81,PINELABS,0.61,31-07-2026
Financial Services,34.81,POLICYBZR,11.3,31-07-2026
Financial Services,34.81,STYL,0.2,31-07-2026
Consumer Services,63.62,CARTRADE,2.35,31-07-2026
Consumer Services,63.62,CRIZAC,0.14,31-07-2026
Consumer Services,63.62,ETERNAL,21.73,31-07-2026
Consumer Services,63.62,FIRSTCRY,0.98,31-07-2026
Consumer Services,63.62,INDIAMART,1.12,31-07-2026
Consumer Services,63.62,IRCTC,3.01,31-07-2026
Consumer Services,63.62,IXIGO,0.88,31-07-2026
Consumer Services,63.62,JUSTDIAL,0.32,31-07-2026
Consumer Services,63.62,MEESHO,2.07,31-07-2026
Consumer Services,63.62,NAUKRI,9.57,31-07-2026
Consumer Services,63.62,NYKAA,9.3,31-07-2026
Consumer Services,63.62,PWL,1.38,31-07-2026
Consumer Services,63.62,RTNINDIA,0.22,31-07-2026
Consumer Services,63.62,SWIGGY,8.24,31-07-2026
Consumer Services,63.62,TBOTEK,1.07,31-07-2026
Consumer Services,63.62,THOMASCOOK,0.35,31-07-2026
Consumer Services,63.62,URBANCO,0.89,31-07-2026
Media Entertainment & Publication,1.57,NAZARA,1.57,31-07-2026
