sector,sector_weight,symbol,weight,as_of_date
Capital Goods,6.82,BEL,4.62,31-07-2026
Capital Goods,6.82,BEML,0.22,31-07-2026
Capital Goods,6.82,BHEL,1.98,31-07-2026
Oil Gas & Consumable Fuels,6.64,BPCL,2.16,31-07-2026
Oil Gas & Consumable Fuels,6.64,HINDPETRO,1.25,31-07-2026
Oil Gas & Consumable Fuels,6.64,MRPL,0.1,31-07-2026
Oil Gas & Consumable Fuels,6.64,ONGC,3.14,31-07-2026
Services,19.92,CONCOR,19.92,31-07-2026
Construction,21.71,IRCON,4.51,31-07-2026
Construction,21.71,RITES,3.15,31-07-2026
Construction,21.71,RVNL,14.05,31-07-2026
Consumer Services,16.22,IRCTC,16.22,31-07-2026
Financial Services,19.58,IRFC,19.58,31-07-2026
Telecommunication,2.82,ITI,0.09,31-07-2026
Telecommunication,2.82,RAILTEL,2.73,31-07-2026
Power,5.48,NTPC,5.48,31-07-2026
Metals & Mining,0.81,SAIL,0.81,31-07-2026
