sector,sector_weight,symbol,weight,as_of_date
Capital Goods,73.28,AEQUS,0.68,31-07-2026
Capital Goods,73.28,APOLLO,1.63,31-07-2026
Capital Goods,73.28,ASTRAMICRO,4.07,31-07-2026
Capital Goods,73.28,AXISCADES,0.72,31-07-2026
Capital Goods,73.28,BDL,2.98,31-07-2026
Capital Goods,73.28,BEL,19.01,31-07-2026
Capital Goods,73.28,BEML,1.73,31-07-2026
Capital Goods,73.28,COCHINSHIP,3.11,31-07-2026
Capital Goods,73.28,DATAPATTNS,3.33,31-07-2026
Capital Goods,73.28,DYNAMATECH,1.05,31-07-2026
Capital Goods,73.28,GRSE,1.97,31-07-2026
Capital Goods,73.28,HAL,21.56,31-07-2026
Capital Goods,73.28,MAZDOCK,4.67,31-07-2026
Capital Goods,73.28,MIDHANI,0.5,31-07-2026
Capital Goods,73.28,MTARTECH,3.17,31-07-2026
Capital Goods,73.28,PARAS,1.15,31-07-2026
Capital Goods,73.28,ZENTEC,1.93,31-07-2026
Automobile and Auto Components,15.15,BHARATFORG,15.15,31-07-2026
Chemicals,11.57,SOLARINDS,11.57,31-07-2026
