sector,sector_weight,symbol,weight,as_of_date
Information Technology,51.1,AFFLE,0.55,31-07-2026
Information Technology,51.1,BSOFT,0.28,31-07-2026
Information Technology,51.1,COFORGE,3.3,31-07-2026
Information Technology,51.1,CYIENT,0.4,31-07-2026
Information Technology,51.1,HCLTECH,8.31,31-07-2026
Information Technology,51.1,HEXT,0.46,31-07-2026
Information Technology,51.1,IKS,0.52,31-07-2026
Information Technology,51.1,INFY,7.35,31-07-2026
Information Technology,51.1,INTELLECT,0.36,31-07-2026
Information Technology,51.1,KPITTECH,0.54,31-07-2026
Information Technology,51.1,LATENTVIEW,0.13,31-07-2026
Information Technology,51.1,LTM,2.23,31-07-2026
Information Technology,51.1,LTTS,0.54,31-07-2026
Information Technology,51.1,MAPMYINDIA,0.11,31-07-2026
Information Technology,51.1,MPHASIS,1.71,31-07-2026
Information Technology,51.1,NETWEB,0.47,31-07-2026
Information Technology,51.1,NEWGEN,0.2,31-07-2026
Information Technology,51.1,OFSS,1.47,31-07-2026
Information Technology,51.1,PERSISTENT,3.32,31-07-2026
Information Technology,51.1,SAGILITY,0.55,31-07-2026
Information Technology,51.1,SONATSOFTW,0.35,31-07-2026
Information Technology,51.1,TATAELXSI,0.7,31-07-2026
Information Technology,51.1,TATATECH,0.71,31-07-2026
Information Technology,51.1,TCS,7.7,31-07-2026
Information Technology,51.1,TECHM,5.78,31-07-2026
Information Technology,51.1,WIPRO,2.74,31-07-2026
Information Technology,51.1,ZENSARTECH,0.32,31-07-2026
Telecommunication,14.03,BHARTIARTL,7.22,31-07-2026
Telecommunication,14.03,BHARTIHEXA,1.03,31-07-2026
Telecommunication,14.03,IDEA,3.05,31-07-2026
Telecommunication,14.03,ITI,0.23,31-07-2026
Telecommunication,14.03,RAILTEL,0.21,31-07-2026
Telecommunication,14.03,TATACOMM,1.76,31-07-2026
Telecommunication,14.03,TEJASNET,0.36,31-07-2026
Telecommunication,14.03,TTML,0.17,31-07-2026
Consumer Services,25.07,BLS,0.25,31-07-2026
Consumer Services,25.07,CARTRADE,0.98,31-07-2026
Consumer Services,25.07,ETERNAL,8.1,31-07-2026
Consumer Services,25.07,FIRSTCRY,0.41,31-07-2026
Consumer Services,25.07,INDIAMART,0.47,31-07-2026
Consumer Services,25.07,IRCTC,1.26,31-07-2026
Consumer Services,25.07,MEESHO,0.86,31-07-2026
Consumer Services,25.07,NAUKRI,4.0,31-07-2026
Consumer Services,25.07,NYKAA,3.89,31-07-2026
Consumer Services,25.07,PWL,0.58,31-07-2026
Consumer Services,25.07,SWIGGY,3.45,31-07-2026
Consumer Services,25.07,TBOTEK,0.45,31-07-2026
Consumer Services,25.07,URBANCO,0.37,31-07-2026
Financial Services,9.8,PAYTM,4.82,31-07-2026
Financial Services,9.8,PINELABS,0.26,31-07-2026
Financial Services,9.8,POLICYBZR,4.72,31-07-2026
