sector,sector_weight,symbol,weight,as_of_date
Consumer Services,62.67,BLS,1.33,31-07-2026
Consumer Services,62.67,CHALET,2.66,31-07-2026
Consumer Services,62.67,DEVYANI,2.23,31-07-2026
Consumer Services,62.67,EIHOTEL,2.97,31-07-2026
Consumer Services,62.67,INDHOTEL,20.65,31-07-2026
Consumer Services,62.67,IRCTC,6.78,31-07-2026
Consumer Services,62.67,ITCHOTELS,8.35,31-07-2026
Consumer Services,62.67,JUBLFOOD,7.87,31-07-2026
Consumer Services,62.67,LEMONTREE,2.49,31-07-2026
Consumer Services,62.67,SAPPHIRE,2.01,31-07-2026
Consumer Services,62.67,TBOTEK,2.41,31-07-2026
Consumer Services,62.67,THELEELA,1.83,31-07-2026
Consumer Services,62.67,TRAVELFOOD,1.09,31-07-2026
Services,37.33,GMRAIRPORT,17.18,31-07-2026
Services,37.33,INDIGO,20.15,31-07-2026
