sector,sector_weight,symbol,weight,as_of_date
Financial Services,100.0,CANHLIFE,1.22,31-07-2026
Financial Services,100.0,GICRE,5.02,31-07-2026
Financial Services,100.0,GODIGIT,2.17,31-07-2026
Financial Services,100.0,HDFCLIFE,19.21,31-07-2026
Financial Services,100.0,ICICIGI,13.97,31-07-2026
Financial Services,100.0,ICICIPRULI,7.22,31-07-2026
Financial Services,100.0,LICI,6.68,31-07-2026
Financial Services,100.0,MFSL,14.08,31-07-2026
Financial Services,100.0,NIACL,1.48,31-07-2026
Financial Services,100.0,NIVABUPA,1.91,31-07-2026
Financial Services,100.0,SBILIFE,22.06,31-07-2026
Financial Services,100.0,STARHEALTH,4.99,31-07-2026
