sector,sector_weight,symbol,weight,as_of_date
Information Technology,100.0,COFORGE,6.19,31-07-2026
Information Technology,100.0,HCLTECH,11.93,31-07-2026
Information Technology,100.0,INFY,29.23,31-07-2026
Information Technology,100.0,LTM,4.19,31-07-2026
Information Technology,100.0,MPHASIS,3.21,31-07-2026
Information Technology,100.0,OFSS,2.76,31-07-2026
Information Technology,100.0,PERSISTENT,6.23,31-07-2026
Information Technology,100.0,TCS,20.29,31-07-2026
Information Technology,100.0,TECHM,10.84,31-07-2026
Information Technology,100.0,WIPRO,5.14,31-07-2026
