sector,sector_weight,symbol,weight,as_of_date
Financial Services,30.58,360ONE,0.35,31-07-2026
Financial Services,30.58,ABCAPITAL,0.4,31-07-2026
Financial Services,30.58,AIIL,0.17,31-07-2026
Financial Services,30.58,AUBANK,0.71,31-07-2026
Financial Services,30.58,AXISBANK,1.29,31-07-2026
Financial Services,30.58,BAJAJFINSV,0.43,31-07-2026
Financial Services,30.58,BAJAJHFL,0.11,31-07-2026
Financial Services,30.58,BAJAJHLDNG,0.18,31-07-2026
Financial Services,30.58,BAJFINANCE,1.12,31-07-2026
Financial Services,30.58,BANKBARODA,0.16,31-07-2026
Financial Services,30.58,BANKINDIA,0.2,31-07-2026
Financial Services,30.58,BSE,1.79,31-07-2026
Financial Services,30.58,CANBK,0.15,31-07-2026
Financial Services,30.58,CHOLAFIN,0.29,31-07-2026
Financial Services,30.58,CRISIL,0.13,31-07-2026
Financial Services,30.58,FEDERALBNK,1.06,31-07-2026
Financial Services,30.58,GICRE,0.17,31-07-2026
Financial Services,30.58,GROWW,0.18,31-07-2026
Financial Services,30.58,HDBFS,0.17,31-07-2026
Financial Services,30.58,HDFCAMC,0.19,31-07-2026
Financial Services,30.58,HDFCBANK,4.18,31-07-2026
Financial Services,30.58,HDFCLIFE,0.22,31-07-2026
Financial Services,30.58,HUDCO,0.12,31-07-2026
Financial Services,30.58,ICICIAMC,0.18,31-07-2026
Financial Services,30.58,ICICIBANK,3.76,31-07-2026
Financial Services,30.58,ICICIGI,0.47,31-07-2026
Financial Services,30.58,ICICIPRULI,0.24,31-07-2026
Financial Services,30.58,IDFCFIRSTB,0.67,31-07-2026
Financial Services,30.58,INDIANB,0.35,31-07-2026
Financial Services,30.58,INDUSINDBK,0.8,31-07-2026
Financial Services,30.58,IREDA,0.11,31-07-2026
Financial Services,30.58,IRFC,0.07,31-07-2026
Financial Services,30.58,JIOFIN,0.31,31-07-2026
Financial Services,30.58,KOTAKBANK,1.05,31-07-2026
Financial Services,30.58,LICHSGFIN,0.19,31-07-2026
Financial Services,30.58,LICI,0.23,31-07-2026
Financial Services,30.58,LTF,0.32,31-07-2026
Financial Services,30.58,M&MFIN,0.31,31-07-2026
Financial Services,30.58,MAHABANK,0.19,31-07-2026
Financial Services,30.58,MCX,0.82,31-07-2026
Financial Services,30.58,MFSL,0.48,31-07-2026
Financial Services,30.58,MOTILALOFS,0.16,31-07-2026
Financial Services,30.58,MUTHOOTFIN,0.12,31-07-2026
Financial Services,30.58,NAM-INDIA,0.25,31-07-2026
Financial Services,30.58,NIACL,0.05,31-07-2026
Financial Services,30.58,PAYTM,0.68,31-07-2026
Financial Services,30.58,PFC,0.23,31-07-2026
Financial Services,30.58,PNB,0.14,31-07-2026
Financial Services,30.58,POLICYBZR,0.66,31-07-2026
Financial Services,30.58,RECLTD,0.17,31-07-2026
Financial Services,30.58,SBICARD,0.23,31-07-2026
Financial Services,30.58,SBILIFE,0.31,31-07-2026
Financial Services,30.58,SBIN,1.55,31-07-2026
Financial Services,30.58,SHRIRAMFIN,0.54,31-07-2026
Financial Services,30.58,SUNDARMFIN,0.38,31-07-2026
Financial Services,30.58,TATACAP,0.07,31-07-2026
Financial Services,30.58,TATAINVEST,0.11,31-07-2026
Financial Services,30.58,UNIONBANK,0.12,31-07-2026
