sector,sector_weight,symbol,weight,as_of_date
Media Entertainment & Publication,100.0,DBCORP,2.19,31-07-2026
Media Entertainment & Publication,100.0,HATHWAY,1.1,31-07-2026
Media Entertainment & Publication,100.0,NAZARA,17.76,31-07-2026
Media Entertainment & Publication,100.0,NETWORK18,4.44,31-07-2026
Media Entertainment & Publication,100.0,PFOCUS,4.4,31-07-2026
Media Entertainment & Publication,100.0,PVRINOX,18.57,31-07-2026
Media Entertainment & Publication,100.0,SAREGAMA,8.7,31-07-2026
Media Entertainment & Publication,100.0,SUNTV,11.57,31-07-2026
Media Entertainment & Publication,100.0,TIPSMUSIC,7.07,31-07-2026
Media Entertainment & Publication,100.0,ZEEL,24.21,31-07-2026
