sector,sector_weight,symbol,weight,as_of_date
Metals & Mining,93.33,ADANIENT,10.58,31-07-2026
Metals & Mining,93.33,HINDALCO,17.18,31-07-2026
Metals & Mining,93.33,HINDCOPPER,1.96,31-07-2026
Metals & Mining,93.33,HINDZINC,3.16,31-07-2026
Metals & Mining,93.33,JINDALSTEL,4.97,31-07-2026
Metals & Mining,93.33,JSL,2.8,31-07-2026
Metals & Mining,93.33,JSWSTEEL,14.51,31-07-2026
Metals & Mining,93.33,LLOYDSME,3.24,31-07-2026
Metals & Mining,93.33,NATIONALUM,3.82,31-07-2026
Metals & Mining,93.33,NMDC,3.58,31-07-2026
Metals & Mining,93.33,SAIL,2.98,31-07-2026
Metals & Mining,93.33,TATASTEEL,19.09,31-07-2026
Metals & Mining,93.33,VEDL,5.46,31-07-2026
Capital Goods,6.67,APLAPOLLO,4.03,31-07-2026
Capital Goods,6.67,WELCORP,2.63,31-07-2026
