sector,sector_weight,symbol,weight,as_of_date
Healthcare,9.01,AARTIDRUGS,0.16,31-07-2026
Healthcare,9.01,AARTIPHARM,0.38,31-07-2026
Healthcare,9.01,ADVENZYMES,0.17,31-07-2026
Healthcare,9.01,AGARWALEYE,0.41,31-07-2026
Healthcare,9.01,AKUMS,0.25,31-07-2026
Healthcare,9.01,ALIVUS,0.39,31-07-2026
Healthcare,9.01,APLLTD,0.49,31-07-2026
Healthcare,9.01,CORONA,0.14,31-07-2026
Healthcare,9.01,HCG,0.4,31-07-2026
Healthcare,9.01,JLHL,0.68,31-07-2026
Healthcare,9.01,MARKSANS,0.61,31-07-2026
Healthcare,9.01,METROPOLIS,0.68,31-07-2026
Healthcare,9.01,PARKHOSPS,0.18,31-07-2026
Healthcare,9.01,RUBICON,0.51,31-07-2026
Healthcare,9.01,SANOFICONR,0.34,31-07-2026
Healthcare,9.01,SHILPAMED,0.79,31-07-2026
Healthcare,9.01,SPARC,0.21,31-07-2026
Healthcare,9.01,STAR,0.75,31-07-2026
Healthcare,9.01,SUPRIYA,0.24,31-07-2026
Healthcare,9.01,THYROCARE,0.4,31-07-2026
Healthcare,9.01,VIYASH,0.43,31-07-2026
Healthcare,9.01,YATHARTH,0.39,31-07-2026
Chemicals,6.21,ACI,0.33,31-07-2026
Chemicals,6.21,AETHER,0.57,31-07-2026
Chemicals,6.21,ALKYLAMINE,0.27,31-07-2026
Chemicals,6.21,BALAMINES,0.26,31-07-2026
Chemicals,6.21,ELLEN,0.09,31-07-2026
Chemicals,6.21,GHCL,0.35,31-07-2026
Chemicals,6.21,GNFC,0.47,31-07-2026
Chemicals,6.21,GSFC,0.39,31-07-2026
Chemicals,6.21,LXCHEM,0.17,31-07-2026
Chemicals,6.21,NEOGEN,0.29,31-07-2026
Chemicals,6.21,NFL,0.1,31-07-2026
Chemicals,6.21,PRIVISCL,0.53,31-07-2026
Chemicals,6.21,RAIN,0.47,31-07-2026
Chemicals,6.21,RALLIS,0.21,31-07-2026
Chemicals,6.21,RCF,0.19,31-07-2026
Chemicals,6.21,SHARDACROP,0.21,31-07-2026
Chemicals,6.21,STYRENIX,0.26,31-07-2026
Chemicals,6.21,SUDARSCHEM,0.81,31-07-2026
Chemicals,6.21,SUDEEPPHRM,0.24,31-07-2026
Capital Goods,23.32,AEQUS,0.29,31-07-2026
Capital Goods,23.32,ANUP,0.28,31-07-2026
Capital Goods,23.32,APOLLO,0.7,31-07-2026
Capital Goods,23.32,ASTRAMICRO,1.74,31-07-2026
Capital Goods,23.32,ATLANTAELE,0.17,31-07-2026
Capital Goods,23.32,AVALON,0.61,31-07-2026
Capital Goods,23.32,AXISCADES,0.31,31-07-2026
Capital Goods,23.32,AZAD,0.72,31-07-2026
Capital Goods,23.32,BALUFORGE,0.23,31-07-2026
Capital Goods,23.32,BORORENEW,0.29,31-07-2026
Capital Goods,23.32,DIACABS,0.3,31-07-2026
Capital Goods,23.32,DUMMYTRVN,0.17,31-07-2026
Capital Goods,23.32,DYNAMATECH,0.45,31-07-2026
Capital Goods,23.32,ELECTCAST,0.24,31-07-2026
Capital Goods,23.32,EPL,0.34,31-07-2026
Capital Goods,23.32,FINPIPE,0.5,31-07-2026
Capital Goods,23.32,GMMPFAUDLR,0.32,31-07-2026
Capital Goods,23.32,GREAVESCOT,0.27,31-07-2026
Capital Goods,23.32,GRINDWELL,1.08,31-07-2026
Capital Goods,23.32,GRWRHITECH,0.69,31-07-2026
Capital Goods,23.32,INOXINDIA,0.47,31-07-2026
Capital Goods,23.32,JAYNECOIND,0.41,31-07-2026
Capital Goods,23.32,KIRLOSBROS,0.52,31-07-2026
Capital Goods,23.32,KIRLPNU,0.62,31-07-2026
Capital Goods,23.32,KRN,0.28,31-07-2026
Capital Goods,23.32,KSB,0.5,31-07-2026
Capital Goods,23.32,LLOYDSENGG,0.69,31-07-2026
Capital Goods,23.32,MAHSEAMLES,0.24,31-07-2026
Capital Goods,23.32,MIDHANI,0.21,31-07-2026
Capital Goods,23.32,MTARTECH,1.36,31-07-2026
Capital Goods,23.32,OSWALPUMPS,0.1,31-07-2026
Capital Goods,23.32,PARAS,0.49,31-07-2026
Capital Goods,23.32,PRAJIND,0.43,31-07-2026
