sector,sector_weight,symbol,weight,as_of_date
Healthcare,12.23,ALKEM,1.45,31-07-2026
Healthcare,12.23,AUROPHARMA,1.88,31-07-2026
Healthcare,12.23,FORTIS,2.12,31-07-2026
Healthcare,12.23,LAURUSLABS,3.04,31-07-2026
Healthcare,12.23,LUPIN,2.53,31-07-2026
Healthcare,12.23,MANKIND,1.2,31-07-2026
Capital Goods,12.71,APLAPOLLO,1.43,31-07-2026
Capital Goods,12.71,ASHOKLEY,2.05,31-07-2026
Capital Goods,12.71,BHEL,2.56,31-07-2026
Capital Goods,12.71,POLYCAB,2.1,31-07-2026
Capital Goods,12.71,SUPREMEIND,0.96,31-07-2026
Capital Goods,12.71,SUZLON,2.52,31-07-2026
Capital Goods,12.71,WAAREEENER,1.11,31-07-2026
Financial Services,31.84,AUBANK,2.55,31-07-2026
Financial Services,31.84,BSE,6.42,31-07-2026
Financial Services,31.84,FEDERALBNK,3.81,31-07-2026
Financial Services,31.84,ICICIGI,1.7,31-07-2026
Financial Services,31.84,IDFCFIRSTB,2.42,31-07-2026
Financial Services,31.84,INDUSINDBK,2.87,31-07-2026
Financial Services,31.84,MCX,2.96,31-07-2026
Financial Services,31.84,MFSL,1.71,31-07-2026
Financial Services,31.84,PAYTM,2.44,31-07-2026
Financial Services,31.84,POLICYBZR,2.39,31-07-2026
Financial Services,31.84,SBICARD,0.84,31-07-2026
Financial Services,31.84,YESBANK,1.72,31-07-2026
Automobile and Auto Components,6.81,BHARATFORG,2.53,31-07-2026
Automobile and Auto Components,6.81,HEROMOTOCO,3.01,31-07-2026
Automobile and Auto Components,6.81,TIINDIA,1.27,31-07-2026
Information Technology,6.51,COFORGE,2.58,31-07-2026
Information Technology,6.51,MPHASIS,1.34,31-07-2026
Information Technology,6.51,PERSISTENT,2.6,31-07-2026
Fast Moving Consumer Goods,4.24,COLPAL,1.18,31-07-2026
Fast Moving Consumer Goods,4.24,DABUR,1.07,31-07-2026
Fast Moving Consumer Goods,4.24,MARICO,1.99,31-07-2026
Consumer Durables,3.88,DIXON,2.51,31-07-2026
Consumer Durables,3.88,HAVELLS,1.37,31-07-2026
Services,1.61,GMRAIRPORT,1.61,31-07-2026
Realty,3.92,GODREJPROP,1.23,31-07-2026
Realty,3.92,PHOENIXLTD,1.52,31-07-2026
Realty,3.92,PRESTIGE,1.17,31-07-2026
Oil Gas & Consumable Fuels,2.69,HINDPETRO,1.61,31-07-2026
Oil Gas & Consumable Fuels,2.69,OIL,1.08,31-07-2026
Telecommunication,2.17,INDUSTOWER,2.17,31-07-2026
Consumer Services,5.73,NAUKRI,2.02,31-07-2026
Consumer Services,5.73,NYKAA,1.97,31-07-2026
Consumer Services,5.73,SWIGGY,1.74,31-07-2026
Power,1.28,NHPC,1.28,31-07-2026
Metals & Mining,1.27,NMDC,1.27,31-07-2026
Chemicals,3.1,SRF,1.64,31-07-2026
Chemicals,3.1,UPL,1.46,31-07-2026
