sector,sector_weight,symbol,weight,as_of_date
Financial Services,25.29,360ONE,0.35,31-07-2026
Financial Services,25.29,AADHARHFC,0.12,31-07-2026
Financial Services,25.29,AAVAS,0.13,31-07-2026
Financial Services,25.29,ABCAPITAL,0.4,31-07-2026
Financial Services,25.29,ABSLAMC,0.17,31-07-2026
Financial Services,25.29,AIIL,0.17,31-07-2026
Financial Services,25.29,ANANDRATHI,0.43,31-07-2026
Financial Services,25.29,ANGELONE,0.45,31-07-2026
Financial Services,25.29,APTUS,0.21,31-07-2026
Financial Services,25.29,AUBANK,0.71,31-07-2026
Financial Services,25.29,BAJAJHFL,0.11,31-07-2026
Financial Services,25.29,BANDHANBNK,0.37,31-07-2026
Financial Services,25.29,BANKINDIA,0.2,31-07-2026
Financial Services,25.29,BSE,1.79,31-07-2026
Financial Services,25.29,CAMS,0.44,31-07-2026
Financial Services,25.29,CANFINHOME,0.16,31-07-2026
Financial Services,25.29,CANHLIFE,0.08,31-07-2026
Financial Services,25.29,CDSL,0.55,31-07-2026
Financial Services,25.29,CENTRALBK,0.12,31-07-2026
Financial Services,25.29,CGCL,0.21,31-07-2026
Financial Services,25.29,CHOICEIN,0.16,31-07-2026
Financial Services,25.29,CHOLAHLDNG,0.35,31-07-2026
Financial Services,25.29,CREDITACC,0.2,31-07-2026
Financial Services,25.29,CRISIL,0.13,31-07-2026
Financial Services,25.29,CUB,0.46,31-07-2026
Financial Services,25.29,FEDERALBNK,1.07,31-07-2026
Financial Services,25.29,FIVESTAR,0.25,31-07-2026
Financial Services,25.29,GICRE,0.17,31-07-2026
Financial Services,25.29,GODIGIT,0.14,31-07-2026
Financial Services,25.29,GROWW,0.18,31-07-2026
Financial Services,25.29,HDBFS,0.18,31-07-2026
Financial Services,25.29,HOMEFIRST,0.27,31-07-2026
Financial Services,25.29,HUDCO,0.12,31-07-2026
Financial Services,25.29,ICICIAMC,0.18,31-07-2026
Financial Services,25.29,ICICIGI,0.48,31-07-2026
Financial Services,25.29,ICICIPRULI,0.25,31-07-2026
Financial Services,25.29,IDBI,0.11,31-07-2026
Financial Services,25.29,IDFCFIRSTB,0.68,31-07-2026
Financial Services,25.29,IEX,0.24,31-07-2026
Financial Services,25.29,IFCI,0.12,31-07-2026
Financial Services,25.29,IIFL,0.33,31-07-2026
Financial Services,25.29,INDIANB,0.36,31-07-2026
Financial Services,25.29,INDUSINDBK,0.8,31-07-2026
Financial Services,25.29,IOB,0.11,31-07-2026
Financial Services,25.29,IREDA,0.11,31-07-2026
Financial Services,25.29,J&KBANK,0.16,31-07-2026
Financial Services,25.29,JMFINANCIL,0.11,31-07-2026
Financial Services,25.29,KARURVYSYA,0.75,31-07-2026
Financial Services,25.29,KFINTECH,0.29,31-07-2026
Financial Services,25.29,LICHSGFIN,0.19,31-07-2026
Financial Services,25.29,LICI,0.23,31-07-2026
Financial Services,25.29,LTF,0.32,31-07-2026
Financial Services,25.29,M&MFIN,0.31,31-07-2026
Financial Services,25.29,MAHABANK,0.19,31-07-2026
Financial Services,25.29,MANAPPURAM,0.47,31-07-2026
Financial Services,25.29,MCX,0.83,31-07-2026
Financial Services,25.29,MFSL,0.48,31-07-2026
Financial Services,25.29,MOTILALOFS,0.16,31-07-2026
Financial Services,25.29,NAM-INDIA,0.25,31-07-2026
Financial Services,25.29,NIACL,0.05,31-07-2026
Financial Services,25.29,NIVABUPA,0.12,31-07-2026
Financial Services,25.29,NUVAMA,0.32,31-07-2026
Financial Services,25.29,PAYTM,0.68,31-07-2026
Financial Services,25.29,PINELABS,0.07,31-07-2026
Financial Services,25.29,PIRAMALFIN,0.57,31-07-2026
Financial Services,25.29,PNBHOUSING,0.46,31-07-2026
Financial Services,25.29,POLICYBZR,0.67,31-07-2026
Financial Services,25.29,POONAWALLA,0.38,31-07-2026
Financial Services,25.29,RBLBANK,0.54,31-07-2026
Financial Services,25.29,SAMMAANCAP,0.29,31-07-2026
Financial Services,25.29,SBFC,0.09,31-07-2026
Financial Services,25.29,SBICARD,0.24,31-07-2026
Financial Services,25.29,STARHEALTH,0.33,31-07-2026
Financial Services,25.29,SUNDARMFIN,0.39,31-07-2026
Financial Services,25.29,TATAINVEST,0.11,31-07-2026
Financial Services,25.29,UCOBANK,0.07,31-07-2026
Financial Services,25.29,UTIAMC,0.09,31-07-2026
Financial Services,25.29,YESBANK,0.48,31-07-2026
Diversified,0.28,3MINDIA,0.12,31-07-2026
Diversified,0.28,DCMSHRIRAM,0.09,31-07-2026
Diversified,0.28,GODREJIND,0.07,31-07-2026
Chemicals,5.44,AARTIIND,0.23,31-07-2026
Chemicals,5.44,ANURAS,0.08,31-07-2026
Chemicals,5.44,ATUL,0.25,31-07-2026
Chemicals,5.44,BAYERCROP,0.12,31-07-2026
Chemicals,5.44,CHAMBLFERT,0.15,31-07-2026
Chemicals,5.44,CLEAN,0.08,31-07-2026
Chemicals,5.44,COROMANDEL,0.3,31-07-2026
Chemicals,5.44,DEEPAKFERT,0.24,31-07-2026
Chemicals,5.44,DEEPAKNTR,0.26,31-07-2026
Chemicals,5.44,FACT,0.12,31-07-2026
Chemicals,5.44,FLUOROCHEM,0.22,31-07-2026
Chemicals,5.44,HSCL,0.41,31-07-2026
Chemicals,5.44,JUBLINGREA,0.14,31-07-2026
Chemicals,5.44,LINDEINDIA,0.17,31-07-2026
Chemicals,5.44,NAVINFLUOR,0.64,31-07-2026
Chemicals,5.44,PARADEEP,0.15,31-07-2026
Chemicals,5.44,PCBL,0.13,31-07-2026
Chemicals,5.44,PIIND,0.27,31-07-2026
Chemicals,5.44,SPLPETRO,0.1,31-07-2026
Chemicals,5.44,SRF,0.46,31-07-2026
Chemicals,5.44,SUMICHEM,0.14,31-07-2026
Chemicals,5.44,SWANCORP,0.1,31-07-2026
Chemicals,5.44,TATACHEM,0.24,31-07-2026
Chemicals,5.44,UPL,0.41,31-07-2026
Healthcare,11.78,ABBOTINDIA,0.17,31-07-2026
Healthcare,11.78,ACUTAAS,0.37,31-07-2026
Healthcare,11.78,AJANTPHARM,0.18,31-07-2026
Healthcare,11.78,ALKEM,0.41,31-07-2026
Healthcare,11.78,ANTHEM,0.09,31-07-2026
Healthcare,11.78,ASTERDM,0.48,31-07-2026
Healthcare,11.78,AUROPHARMA,0.53,31-07-2026
Healthcare,11.78,BIOCON,0.37,31-07-2026
Healthcare,11.78,BLUEJET,0.07,31-07-2026
Healthcare,11.78,CAPLIPOINT,0.12,31-07-2026
Healthcare,11.78,COHANCE,0.16,31-07-2026
Healthcare,11.78,CONCORDBIO,0.11,31-07-2026
Healthcare,11.78,EMCURE,0.16,31-07-2026
Healthcare,11.78,ERIS,0.17,31-07-2026
Healthcare,11.78,FORTIS,0.59,31-07-2026
Healthcare,11.78,GLAND,0.46,31-07-2026
Healthcare,11.78,GLAXO,0.13,31-07-2026
Healthcare,11.78,GLENMARK,0.41,31-07-2026
Healthcare,11.78,GRANULES,0.28,31-07-2026
Healthcare,11.78,INDGN,0.12,31-07-2026
Healthcare,11.78,IPCALAB,0.29,31-07-2026
Healthcare,11.78,JUBLPHARMA,0.17,31-07-2026
Healthcare,11.78,KIMS,0.48,31-07-2026
Healthcare,11.78,LALPATHLAB,0.34,31-07-2026
Healthcare,11.78,LAURUSLABS,0.85,31-07-2026
Healthcare,11.78,LUPIN,0.71,31-07-2026
Healthcare,11.78,MANKIND,0.34,31-07-2026
Healthcare,11.78,MEDANTA,0.14,31-07-2026
Healthcare,11.78,NATCOPHARM,0.19,31-07-2026
Healthcare,11.78,NEULANDLAB,0.38,31-07-2026
Healthcare,11.78,NH,0.32,31-07-2026
Healthcare,11.78,ONESOURCE,0.29,31-07-2026
Healthcare,11.78,PFIZER,0.17,31-07-2026
Healthcare,11.78,POLYMED,0.15,31-07-2026
Healthcare,11.78,PPLPHARMA,0.28,31-07-2026
Healthcare,11.78,RAINBOW,0.18,31-07-2026
Healthcare,11.78,SAILIFE,0.42,31-07-2026
Healthcare,11.78,SYNGENE,0.17,31-07-2026
Healthcare,11.78,VIJAYA,0.15,31-07-2026
Healthcare,11.78,WOCKPHARMA,0.37,31-07-2026
Fast Moving Consumer Goods,3.67,ABDL,0.08,31-07-2026
Fast Moving Consumer Goods,3.67,AWL,0.13,31-07-2026
Fast Moving Consumer Goods,3.67,BALRAMCHIN,0.15,31-07-2026
Fast Moving Consumer Goods,3.67,BBTC,0.06,31-07-2026
Fast Moving Consumer Goods,3.67,BIKAJI,0.1,31-07-2026
Fast Moving Consumer Goods,3.67,CCL,0.19,31-07-2026
Fast Moving Consumer Goods,3.67,COLPAL,0.33,31-07-2026
Fast Moving Consumer Goods,3.67,DABUR,0.3,31-07-2026
Fast Moving Consumer Goods,3.67,DOMS,0.09,31-07-2026
Fast Moving Consumer Goods,3.67,EIDPARRY,0.18,31-07-2026
Fast Moving Consumer Goods,3.67,EMAMILTD,0.18,31-07-2026
Fast Moving Consumer Goods,3.67,GILLETTE,0.14,31-07-2026
Fast Moving Consumer Goods,3.67,GODFRYPHLP,0.1,31-07-2026
Fast Moving Consumer Goods,3.67,HONASA,0.14,31-07-2026
Fast Moving Consumer Goods,3.67,LTFOODS,0.13,31-07-2026
Fast Moving Consumer Goods,3.67,MARICO,0.55,31-07-2026
Fast Moving Consumer Goods,3.67,PATANJALI,0.15,31-07-2026
Fast Moving Consumer Goods,3.67,RADICO,0.41,31-07-2026
Fast Moving Consumer Goods,3.67,UBL,0.12,31-07-2026
Fast Moving Consumer Goods,3.67,ZYDUSWELL,0.13,31-07-2026
Consumer Services,4.96,ABFRL,0.08,31-07-2026
Consumer Services,4.96,ABLBL,0.13,31-07-2026
Consumer Services,4.96,BLS,0.07,31-07-2026
Consumer Services,4.96,CARTRADE,0.27,31-07-2026
Consumer Services,4.96,CHALET,0.13,31-07-2026
Consumer Services,4.96,DEVYANI,0.11,31-07-2026
Consumer Services,4.96,EIHOTEL,0.15,31-07-2026
Consumer Services,4.96,FIRSTCRY,0.11,31-07-2026
Consumer Services,4.96,INDIAMART,0.13,31-07-2026
Consumer Services,4.96,IRCTC,0.18,31-07-2026
Consumer Services,4.96,ITCHOTELS,0.22,31-07-2026
Consumer Services,4.96,JUBLFOOD,0.21,31-07-2026
Consumer Services,4.96,LEMONTREE,0.13,31-07-2026
Consumer Services,4.96,LENSKART,0.23,31-07-2026
Consumer Services,4.96,MEESHO,0.23,31-07-2026
Consumer Services,4.96,NAUKRI,0.57,31-07-2026
Consumer Services,4.96,NYKAA,0.55,31-07-2026
Consumer Services,4.96,PWL,0.16,31-07-2026
Consumer Services,4.96,SAPPHIRE,0.1,31-07-2026
Consumer Services,4.96,SWIGGY,0.49,31-07-2026
Consumer Services,4.96,TBOTEK,0.12,31-07-2026
Consumer Services,4.96,THELEELA,0.09,31-07-2026
Consumer Services,4.96,TRAVELFOOD,0.05,31-07-2026
Consumer Services,4.96,URBANCO,0.1,31-07-2026
Consumer Services,4.96,VMM,0.36,31-07-2026
Realty,2.21,ABREL,0.17,31-07-2026
Realty,2.21,ANANTRAJ,0.22,31-07-2026
Realty,2.21,BRIGADE,0.25,31-07-2026
Realty,2.21,GODREJPROP,0.34,31-07-2026
Realty,2.21,OBEROIRLTY,0.26,31-07-2026
Realty,2.21,PHOENIXLTD,0.43,31-07-2026
Realty,2.21,PRESTIGE,0.33,31-07-2026
Realty,2.21,SIGNATURE,0.07,31-07-2026
Realty,2.21,SOBHA,0.14,31-07-2026
Construction Materials,1.04,ACC,0.1,31-07-2026
Construction Materials,1.04,DALBHARAT,0.17,31-07-2026
Construction Materials,1.04,INDIACEM,0.06,31-07-2026
Construction Materials,1.04,JKCEMENT,0.27,31-07-2026
Construction Materials,1.04,JSWCEMENT,0.08,31-07-2026
Construction Materials,1.04,NUVOCO,0.08,31-07-2026
Construction Materials,1.04,RAMCOCEM,0.27,31-07-2026
Capital Goods,13.04,ACE,0.1,31-07-2026
Capital Goods,13.04,AIAENG,0.21,31-07-2026
Capital Goods,13.04,APARINDS,0.29,31-07-2026
Capital Goods,13.04,APLAPOLLO,0.4,31-07-2026
Capital Goods,13.04,ASHOKLEY,0.57,31-07-2026
Capital Goods,13.04,ASTRAL,0.21,31-07-2026
Capital Goods,13.04,BDL,0.14,31-07-2026
Capital Goods,13.04,BEML,0.15,31-07-2026
Capital Goods,13.04,BHEL,0.71,31-07-2026
Capital Goods,13.04,CARBORUNIV,0.28,31-07-2026
Capital Goods,13.04,COCHINSHIP,0.15,31-07-2026
Capital Goods,13.04,CPPLUS,0.21,31-07-2026
Capital Goods,13.04,DATAPATTNS,0.3,31-07-2026
Capital Goods,13.04,ELECON,0.09,31-07-2026
Capital Goods,13.04,ELGIEQUIP,0.28,31-07-2026
Capital Goods,13.04,EMMVEE,0.1,31-07-2026
Capital Goods,13.04,ESCORTS,0.12,31-07-2026
Capital Goods,13.04,FINCABLES,0.17,31-07-2026
Capital Goods,13.04,GALLANTT,0.04,31-07-2026
Capital Goods,13.04,GPIL,0.14,31-07-2026
Capital Goods,13.04,GRAPHITE,0.1,31-07-2026
Capital Goods,13.04,GRSE,0.18,31-07-2026
Capital Goods,13.04,GVT&D,0.65,31-07-2026
Capital Goods,13.04,HBLENGINE,0.19,31-07-2026
Capital Goods,13.04,HEG,0.13,31-07-2026
Capital Goods,13.04,HONAUT,0.1,31-07-2026
Capital Goods,13.04,INOXWIND,0.17,31-07-2026
Capital Goods,13.04,JINDALSAW,0.14,31-07-2026
Capital Goods,13.04,JWL,0.08,31-07-2026
Capital Goods,13.04,JYOTICNC,0.16,31-07-2026
Capital Goods,13.04,KAYNES,0.28,31-07-2026
Capital Goods,13.04,KEI,0.37,31-07-2026
Capital Goods,13.04,KIRLOSENG,0.42,31-07-2026
Capital Goods,13.04,POLYCAB,0.59,31-07-2026
Capital Goods,13.04,POWERINDIA,0.49,31-07-2026
Capital Goods,13.04,PREMIERENE,0.15,31-07-2026
Capital Goods,13.04,PTCIL,0.25,31-07-2026
Capital Goods,13.04,RHIM,0.05,31-07-2026
Capital Goods,13.04,RRKABEL,0.2,31-07-2026
Capital Goods,13.04,SCHNEIDER,0.18,31-07-2026
Capital Goods,13.04,SHYAMMETL,0.17,31-07-2026
Capital Goods,13.04,SUPREMEIND,0.27,31-07-2026
Capital Goods,13.04,SUZLON,0.7,31-07-2026
Capital Goods,13.04,SYRMA,0.25,31-07-2026
Capital Goods,13.04,TARIL,0.07,31-07-2026
Capital Goods,13.04,TEGA,0.06,31-07-2026
Capital Goods,13.04,THERMAX,0.2,31-07-2026
Capital Goods,13.04,TIMKEN,0.26,31-07-2026
Capital Goods,13.04,TITAGARH,0.15,31-07-2026
Capital Goods,13.04,TRITURBINE,0.16,31-07-2026
Capital Goods,13.04,USHAMART,0.21,31-07-2026
Capital Goods,13.04,WAAREEENER,0.31,31-07-2026
Capital Goods,13.04,WELCORP,0.5,31-07-2026
Capital Goods,13.04,ZENTEC,0.17,31-07-2026
Power,2.33,ACMESOLAR,0.17,31-07-2026
Power,2.33,CESC,0.24,31-07-2026
Power,2.33,JPPOWER,0.21,31-07-2026
Power,2.33,JSWENERGY,0.41,31-07-2026
Power,2.33,NAVA,0.18,31-07-2026
Power,2.33,NHPC,0.36,31-07-2026
Power,2.33,NLCINDIA,0.13,31-07-2026
Power,2.33,NTPCGREEN,0.1,31-07-2026
Power,2.33,RPOWER,0.16,31-07-2026
Power,2.33,SJVN,0.06,31-07-2026
Power,2.33,TORNTPOWER,0.32,31-07-2026
Oil Gas & Consumable Fuels,2.5,AEGISLOG,0.37,31-07-2026
Oil Gas & Consumable Fuels,2.5,AEGISVOPAK,0.1,31-07-2026
Oil Gas & Consumable Fuels,2.5,ATGL,0.22,31-07-2026
Oil Gas & Consumable Fuels,2.5,CASTROLIND,0.21,31-07-2026
Oil Gas & Consumable Fuels,2.5,CHENNPETRO,0.14,31-07-2026
Oil Gas & Consumable Fuels,2.5,HINDPETRO,0.45,31-07-2026
Oil Gas & Consumable Fuels,2.5,IGL,0.25,31-07-2026
Oil Gas & Consumable Fuels,2.5,MGL,0.15,31-07-2026
Oil Gas & Consumable Fuels,2.5,MRPL,0.07,31-07-2026
Oil Gas & Consumable Fuels,2.5,OIL,0.3,31-07-2026
Oil Gas & Consumable Fuels,2.5,PETRONET,0.25,31-07-2026
Construction,1.86,AFCONS,0.1,31-07-2026
Construction,1.86,CEMPRO,0.18,31-07-2026
Construction,1.86,ENGINERSIN,0.14,31-07-2026
Construction,1.86,IRB,0.18,31-07-2026
Construction,1.86,IRCON,0.09,31-07-2026
Construction,1.86,KEC,0.14,31-07-2026
Construction,1.86,KPIL,0.34,31-07-2026
Construction,1.86,NBCC,0.23,31-07-2026
Construction,1.86,NCC,0.13,31-07-2026
Construction,1.86,RITES,0.07,31-07-2026
Construction,1.86,RVNL,0.15,31-07-2026
Construction,1.86,TECHNOE,0.11,31-07-2026
Information Technology,4.7,AFFLE,0.23,31-07-2026
Information Technology,4.7,BSOFT,0.12,31-07-2026
Information Technology,4.7,COFORGE,0.72,31-07-2026
Information Technology,4.7,CYIENT,0.17,31-07-2026
Information Technology,4.7,HEXT,0.1,31-07-2026
Information Technology,4.7,IKS,0.22,31-07-2026
Information Technology,4.7,INTELLECT,0.15,31-07-2026
Information Technology,4.7,KPITTECH,0.12,31-07-2026
Information Technology,4.7,LATENTVIEW,0.05,31-07-2026
Information Technology,4.7,LTTS,0.12,31-07-2026
