sector,sector_weight,symbol,weight,as_of_date
Financial Services,26.11,360ONE,0.47,31-07-2026
Financial Services,26.11,AADHARHFC,0.08,31-07-2026
Financial Services,26.11,AAVAS,0.09,31-07-2026
Financial Services,26.11,ABCAPITAL,0.53,31-07-2026
Financial Services,26.11,ABSLAMC,0.12,31-07-2026
Financial Services,26.11,AIIL,0.23,31-07-2026
Financial Services,26.11,ANANDRATHI,0.29,31-07-2026
Financial Services,26.11,ANGELONE,0.31,31-07-2026
Financial Services,26.11,APTUS,0.15,31-07-2026
Financial Services,26.11,AUBANK,0.94,31-07-2026
Financial Services,26.11,BAJAJHFL,0.15,31-07-2026
Financial Services,26.11,BANDHANBNK,0.25,31-07-2026
Financial Services,26.11,BANKINDIA,0.27,31-07-2026
Financial Services,26.11,BSE,2.36,31-07-2026
Financial Services,26.11,CAMS,0.3,31-07-2026
Financial Services,26.11,CANFINHOME,0.11,31-07-2026
Financial Services,26.11,CANHLIFE,0.05,31-07-2026
Financial Services,26.11,CDSL,0.38,31-07-2026
Financial Services,26.11,CENTRALBK,0.08,31-07-2026
Financial Services,26.11,CGCL,0.14,31-07-2026
Financial Services,26.11,CHOICEIN,0.11,31-07-2026
Financial Services,26.11,CHOLAHLDNG,0.24,31-07-2026
Financial Services,26.11,CREDITACC,0.14,31-07-2026
Financial Services,26.11,CRISIL,0.17,31-07-2026
Financial Services,26.11,CUB,0.31,31-07-2026
Financial Services,26.11,FEDERALBNK,1.4,31-07-2026
Financial Services,26.11,FIVESTAR,0.17,31-07-2026
Financial Services,26.11,GICRE,0.22,31-07-2026
Financial Services,26.11,GODIGIT,0.1,31-07-2026
Financial Services,26.11,GROWW,0.24,31-07-2026
Financial Services,26.11,HDBFS,0.23,31-07-2026
Financial Services,26.11,HOMEFIRST,0.18,31-07-2026
Financial Services,26.11,HUDCO,0.15,31-07-2026
Financial Services,26.11,ICICIAMC,0.24,31-07-2026
Financial Services,26.11,ICICIGI,0.62,31-07-2026
Financial Services,26.11,ICICIPRULI,0.32,31-07-2026
Financial Services,26.11,IDBI,0.07,31-07-2026
Financial Services,26.11,IDFCFIRSTB,0.89,31-07-2026
Financial Services,26.11,IEX,0.17,31-07-2026
Financial Services,26.11,IFCI,0.08,31-07-2026
Financial Services,26.11,IIFL,0.22,31-07-2026
Financial Services,26.11,INDIANB,0.47,31-07-2026
Financial Services,26.11,INDUSINDBK,1.05,31-07-2026
