sector,sector_weight,symbol,weight,as_of_date
Healthcare,100.0,ABBOTINDIA,2.21,31-07-2026
Healthcare,100.0,ACUTAAS,2.46,31-07-2026
Healthcare,100.0,AJANTPHARM,2.23,31-07-2026
Healthcare,100.0,ALKEM,5.14,31-07-2026
Healthcare,100.0,ASTERDM,3.18,31-07-2026
Healthcare,100.0,AUROPHARMA,6.68,31-07-2026
Healthcare,100.0,BIOCON,4.64,31-07-2026
Healthcare,100.0,COHANCE,1.06,31-07-2026
Healthcare,100.0,FORTIS,7.52,31-07-2026
Healthcare,100.0,GLAND,3.05,31-07-2026
Healthcare,100.0,GLAXO,1.68,31-07-2026
Healthcare,100.0,GLENMARK,5.14,31-07-2026
Healthcare,100.0,GRANULES,1.83,31-07-2026
Healthcare,100.0,IPCALAB,3.71,31-07-2026
Healthcare,100.0,KIMS,3.19,31-07-2026
Healthcare,100.0,LALPATHLAB,2.27,31-07-2026
Healthcare,100.0,LAURUSLABS,10.79,31-07-2026
Healthcare,100.0,LUPIN,8.96,31-07-2026
Healthcare,100.0,MANKIND,4.27,31-07-2026
Healthcare,100.0,MEDANTA,1.84,31-07-2026
Healthcare,100.0,NATCOPHARM,1.26,31-07-2026
Healthcare,100.0,NEULANDLAB,2.51,31-07-2026
Healthcare,100.0,NH,2.14,31-07-2026
Healthcare,100.0,ONESOURCE,1.95,31-07-2026
Healthcare,100.0,PFIZER,1.12,31-07-2026
Healthcare,100.0,POLYMED,0.99,31-07-2026
Healthcare,100.0,PPLPHARMA,1.86,31-07-2026
Healthcare,100.0,SAILIFE,2.77,31-07-2026
Healthcare,100.0,SYNGENE,1.12,31-07-2026
Healthcare,100.0,WOCKPHARMA,2.47,31-07-2026
