sector,sector_weight,symbol,weight,as_of_date
Capital Goods,11.66,ASHOKLEY,5.23,31-07-2026
Capital Goods,11.66,SUZLON,6.43,31-07-2026
Financial Services,45.59,AUBANK,6.53,31-07-2026
Financial Services,45.59,BSE,13.55,31-07-2026
Financial Services,45.59,INDUSINDBK,7.34,31-07-2026
Financial Services,45.59,MCX,7.56,31-07-2026
Financial Services,45.59,PAYTM,6.22,31-07-2026
Financial Services,45.59,YESBANK,4.4,31-07-2026
Information Technology,13.23,COFORGE,6.59,31-07-2026
Information Technology,13.23,PERSISTENT,6.64,31-07-2026
Consumer Durables,6.41,DIXON,6.41,31-07-2026
Healthcare,5.42,FORTIS,5.42,31-07-2026
Automobile and Auto Components,7.69,HEROMOTOCO,7.69,31-07-2026
Telecommunication,5.55,INDUSTOWER,5.55,31-07-2026
Consumer Services,4.45,SWIGGY,4.45,31-07-2026
